Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),30,20,8,2,45,18,+27,68,Qualification for the 2024–25 AFC Champions League Elite League stage
2,Esteghlal,30,19,10,1,40,15,+25,67,Qualification for the 2024–25 AFC Champions League Elite League stage
3,Sepahan,30,17,6,7,53,26,+27,57,Qualification for the 2024–25 AFC Champions League Elite qualifying play-offs[a]
4,Tractor,30,16,6,8,42,22,+20,54,Qualification for the 2024–25 AFC Champions League Two group stage
5,Zob Ahan,30,11,9,10,30,29,+1,42,
6,Malavan,30,10,11,9,31,26,+5,41,
7,Aluminium Arak,30,10,9,11,27,33,−6,39[b],
8,Shams Azar,30,11,9,10,35,35,0,39[c],
9,Gol Gohar,30,8,12,10,29,28,+1,36,
10,Mes Rafsanjan,30,8,11,11,32,37,−5,35,
11,Foolad,30,7,8,15,20,40,−20,29[d],
12,Nassaji Mazandaran,30,7,8,15,27,36,−9,29[d],
13,Havadar,30,6,11,13,31,48,−17,29[d],
14,Esteghlal Khuzestan,30,6,10,14,31,42,−11,28,
15,Paykan (R),30,4,15,11,25,38,−13,27,Relegation to Azadegan League
16,Sanat Naft (R),30,4,9,17,24,49,−25,21,Relegation to Azadegan League
