رده,تیم,بازی,برد,مساوی,باخت,گلِ‌زده,گلِ‌خورده,امتیاز,توضیحات
۱,پاس تهران,۲۲,۱۴,۶,۲,۳۲,۱۱,۳۴,صعود به جام باشگاه‌های آسیا ۹۳–۱۹۹۲
۲,استقلال تهران,۲۲,۱۲,۸,۲,۳۰,۱۵,۳۲,
۳,پرسپولیس تهران,۲۲,۱۳,۵,۴,۳۰,۱۲,۳۱,صعود به جام برندگان جام آسیا ۹۳–۱۹۹۲
۴,ملوان بندرانزلی,۲۲,۹,۸,۵,۲۱,۱۱,۲۶,
۵,جنوب اهواز,۲۲,۷,۸,۷,۲۵,۲۶,۲۲,
۶,سپاهان اصفهان,۲۲,۹,۴,۹,۲۰,۳۰,۲۲,سقوط به لیگ دسته دوم فوتبال ایران
۷,نساجی مازندران,۲۲,۶,۸,۸,۱۶,۲۲,۲۰,
۸,استقلال اهواز,۲۲,۶,۷,۹,۲۵,۲۳,۱۹,
۹,کما شیراز,۲۲,۴,۹,۹,۹,۲۱,۱۷,
۱۰,تراکتورسازی تبریز,۲۲,۵,۶,۱۱,۲۵,۳۲,۱۶,
۱۱,استقلال رشت,۲۲,۴,۷,۱۱,۱۳,۲۱,۱۵,سقوط به لیگ دسته دوم فوتبال ایران
۱۲,ابومسلم خراسان,۲۲,۳,۴,۱۵,۱۴,۳۶,۱۰,
