رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,توضیحات
۱,سایپا,۲۶,۱۰,۱۴,۲,۴۱,۲۲,۱۹+,۳۴,جام باشگاه‌های آسیا ۹۵–۱۹۹۴
۲,پرسپولیس,۲۶,۱۰,۱۱,۵,۴۰,۲۵,۱۵+,۳۱,
۳,جنوب اهواز,۲۶,۱۳,۵,۸,۳۳,۲۱,۱۲+,۳۱,جام برندگان جام آسیا ۹۵-۱۹۹۴
۴,ذوب‌آهن,۲۶,۹,۱۱,۶,۳۷,۲۹,۸+,۲۹,
۵,پاس,۲۶,۹,۱۱,۶,۲۸,۲۴,۴+,۲۹,
۶,نساجی,۲۶,۹,۱۱,۶,۳۰,۲۷,۳+,۲۹,
۷,صنعت نفت,۲۶,۹,۹,۸,۲۶,۲۸,۲-,۲۷,
۸,تراکتورسازی,۲۶,۸,۱۰,۸,۲۳,۲۹,۶-,۲۶,
۹,کشاورز,۲۶,۷,۱۰,۹,۲۹,۲۵,۴+,۲۴,
۱۰,چوکا تالش,۲۶,۵,۱۳,۸,۱۹,۲۳,۴-,۲۳,
۱۱,سپاهان,۲۶,۷,۸,۱۱,۱۶,۲۶,۱۰-,۲۲,
۱۲,برق شیراز,۲۶,۵,۱۱,۱۰,۲۷,۳۸,۱۱-,۲۱,
۱۳,ملوان انزلی,۲۶,۵,۱۰,۱۱,۱۶,۲۶,۱۰-,۲۰,
۱۴,استقلال اهواز,۲۶,۴,۱۰,۱۲,۲۱,۳۳,۱۲-,۱۸,
