Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Saipa,22,11,7,4,30,16,+14,29,Promoted to Semi-final
2,Esteghlal,22,10,7,5,25,20,+5,27,Promoted to Semi-final
3,Machine Sazi,22,9,7,6,27,21,+6,25,
4,Shahrdari Tabriz,22,7,10,5,26,22,+4,24,
5,Jonoob Ahvaz,22,6,12,4,23,19,+4,24,
6,Sepahan,22,8,6,8,28,25,+3,22,
7,Naft Ghaemshahr (R),22,8,6,8,20,22,−2,22,Relegated to 2nd Division
8,Chooka Talesh (R),22,7,8,7,15,19,−4,22,Relegated to 2nd Division
9,Bank Tejarat (R),22,7,7,8,27,22,+5,21,Relegated to 2nd Division
10,Payam Gach Khorasan (R),22,6,6,10,21,32,−11,18,Relegated to 2nd Division
11,Pars Khodro (R),22,2,11,9,19,29,−10,15,Relegated to 2nd Division
12,Sanat Naft (R),22,3,9,10,27,35,−8,15,Relegated to 2nd Division
