#,تیم,بازی,برد,مساوی,باخت,گلِ‌زده,گلِ‌خورده,امتیاز,توضیحات
۱,پرسپولیس,۳۰,۱۷,۸,۵,۵۲,۲۴,۵۹,صعود به جام باشگاه‌های آسیا ۹۸–۱۹۹۷
۲,بهمن کرج,۳۰,۱۵,۸,۷,۴۹,۳۲,۵۳,
۳,سپاهان,۳۰,۱۴,۸,۸,۳۷,۲۹,۵۰,
۴,پاس تهران,۳۰,۱۱,۱۵,۴,۳۷,۲۲,۴۸,
۵,صنعت نفت ابادان,۳۰,۱۱,۹,۱۰,۳۷,۳۸,۴۲,
۶,استقلال تهران,۳۰,۱۱,۸,۱۱,۴۱,۳۹,۴۱,
۷,پیام مشهد,۳۰,۹,۱۳,۸,۳۷,۳۷,۴۰,
۸,برق شیراز,۳۰,۱۱,۶,۱۳,۲۶,۲۷,۳۹,صعود به جام برندگان جام آسیا ۹۸-۱۹۹۷
۹,استقلال اهواز,۳۰,۸,۱۴,۸,۴۰,۳۸,۳۸,
۱۰,ذوب آهن اصفهان,۳۰,۷,۱۶,۷,۳۰,۲۸,۳۷,
۱۱,تراکتورسازی تبریز,۳۰,۸,۱۳,۹,۲۸,۲۹,۳۷,
۱۲,پلی اکریل اصفهان,۳۰,۹,۱۰,۱۱,۳۱,۳۲,۳۷,
۱۳,ماشین سازی تبریز,۳۰,۱۰,۵,۱۵,۳۰,۵۲,۳۵,
۱۴,ملوان انزلی,۳۰,۸,۹,۱۳,۳۵,۴۳,۳۳,
۱۵,شموشک نوشهر,۳۰,۸,۸,۱۴,۳۴,۵۲,۳۲,
۱۶,کشاورز تهران,۳۰,۳,۱۰,۱۷,۱۹,۴۱,۱۹,
