Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),30,19,8,3,56,21,+35,65,Qualification for the 1999–2000 Asian Club Championship
2,Esteghlal,30,14,11,5,50,28,+22,53,Qualification for the 1999–2000 Asian Cup Winners' Cup
3,Sepahan,30,13,14,3,39,19,+20,53,
4,Saipa,30,13,10,7,43,33,+10,49,
5,PAS,30,9,15,6,30,25,+5,42,
6,Chooka,30,11,7,12,33,48,−15,40,
7,Foolad,30,9,11,10,31,37,−6,38,
8,Aboomoslem,30,10,7,13,37,37,0,37,
9,Sanat Naft,30,8,12,10,22,39,−17,36,
10,Fajr Sepasi,30,8,10,12,27,31,−4,34,
11,Tractor Sazi,30,7,13,10,30,35,−5,34,
12,Zob Ahan,30,9,6,15,23,32,−9,33,
13,Malavan (R),30,7,11,12,21,26,−5,32,Relegation to the 1999–2000 Iran 2nd Division
14,Sh. Tabriz (R),30,5,16,9,29,33,−4,31,Relegation to the 1999–2000 Iran 2nd Division
15,Polyacryl (R),30,5,12,13,24,36,−12,27,Relegation to the 1999–2000 Iran 2nd Division
16,Bank Melli (R),30,4,15,11,27,41,−14,27,Relegation to the 1999–2000 Iran 2nd Division
