Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),26,15,9,2,45,23,+22,54,Qualification for the 2000–01 Asian Club Championship
2,Esteghlal,26,12,11,3,32,16,+16,47,Qualification for the 2000–01 Asian Cup Winners' Cup
3,Fajr Sepasi,26,11,11,4,37,18,+19,44,
4,Sepahan,26,11,9,6,28,19,+9,42,
5,Zob Ahan,26,11,6,9,35,29,+6,39,
6,Tractor Sazi,26,10,8,8,30,26,+4,38,
7,PAS,26,9,8,9,35,31,+4,35,
8,Bahman,26,8,10,8,24,26,−2,34,
9,Saipa,26,6,13,7,24,21,+3,31,
10,Foolad,26,7,8,11,30,33,−3,29,
11,Aboomoslem (R),26,7,7,12,32,39,−7,28,Relegation to the 2000–01 Iran 2nd Division
12,Sanat Naft (R),26,6,9,11,29,35,−6,27,Relegation to the 2000–01 Iran 2nd Division
13,Chooka (R),26,4,9,13,22,45,−23,21,Relegation to the 2000–01 Iran 2nd Division
14,Irsotter Noshahr (R),26,3,6,17,22,64,−42,15,Relegation to the 2000–01 Iran 2nd Division
