Home \ Away,PRS,EST,FJR,SEP,ZOB,TRK,PAS,BAH,SAP,FOL,ABU,SNA,CHO,IRS
Persepolis,,0–0,3–1,1–0,0–2,5–2,3–1,3–1,0–0,2–2,1–1,2–1,3–0,2–0
Esteghlal,0–2,,0–0,2–1,2–1,1–1,3–0,0–0,1–1,0–0,1–0,0–0,2–0,2–0
Fajr Sepasi,1–1,3–0,,0–0,3–2,1–1,2–1,1–1,2–0,3–0,2–0,2–1,6–0,4–0
Sepahan,0–0,1–4,0–0,,0–0,1–0,2–2,1–0,0–0,2–1,3–0,1–0,2–0,3–1
Zob Ahan,1–1,1–4,1–1,0–3,,1–0,0–1,2–1,0–0,4–0,4–1,1–2,4–2,3–1
Tractor Sazi,1–1,1–3,2–0,1–1,0–1,,1–0,1–0,0–0,2–1,3–1,2–0,2–0,4–1
PAS Tehran,0–1,1–1,0–1,0–2,2–0,1–0,,1–1,0–0,3–1,2–2,2–2,2–1,7–0
Bahman,1–1,0–3,0–0,0–1,1–0,0–0,2–1,,1–0,1–0,2–1,3–0,1–1,3–1
Saipa,1–2,0–1,1–1,1–2,1–1,2–0,1–2,1–1,,1–0,2–3,1–0,1–0,6–1
Foolad,1–2,2–0,0–0,2–1,1–2,1–2,1–1,2–0,1–1,,0–0,2–0,4–1,5–1
Aboumoslem,1–2,0–0,1–0,2–0,0–1,2–1,2–3,2–0,0–1,1–2,,3–1,1–1,1–1
Sanat Naft,3–0,0–1,1–0,1–1,1–1,1–2,0–0,2–2,1–1,0–0,2–2,,3–0,2–1
Chooka,1–2,0–0,0–1,0–0,1–0,1–1,0–1,1–1,1–1,0–0,4–3,3–2,,3–1
Irsotter,1–5,1–1,2–2,1–0,0–2,0–0,2–1,0–1,0–0,3–1,0–2,2–3,1–1,
