Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Esteghlal (C),22,15,5,2,52,21,+31,50,Qualification for the 2001–02 Asian Club Championship
2,Persepolis,22,13,7,2,36,16,+20,46,
3,Saipa,22,8,9,5,29,27,+2,33,
4,Zob Ahan,22,7,9,6,30,22,+8,30,
5,Paykan,22,7,7,8,19,29,−10,28,
6,PAS,22,5,12,5,25,23,+2,27,
7,Sepahan,22,5,11,6,19,23,−4,26,
8,Foolad,22,6,7,9,23,27,−4,25,
9,Fajr Sepasi,22,5,9,8,20,25,−5,24,Qualification for the 2001–02 Asian Cup Winners' Cup
10,Est. Rasht,22,7,3,12,23,43,−20,24,
11,Bargh Shiraz,22,4,9,9,23,26,−3,21,
12,Tractor Sazi,22,5,2,15,18,35,−17,17,
