#,تیم,بازی,برد,مساوی,باخت,گلِ‌زده,گلِ‌خورده,تفاضل,امتیاز,توضیحات
۱,استقلال تهران,۲۲,۱۵,۵,۲,۵۲,۲۱,۳۱,۵۰,صعود به جام باشگاه‌های آسیا ۰۲–۲۰۰۱
۲,پرسپولیس,۲۲,۱۳,۷,۲,۳۶,۱۶,۲۰,۴۶,
۳,سایپا,۲۲,۸,۹,۵,۲۹,۲۷,۲,۳۳,
۴,ذوب‌آهن,۲۲,۷,۹,۶,۳۰,۲۲,۸,۳۰,
۵,پیکان,۲۲,۷,۷,۸,۱۹,۲۹,۱۰-,۲۸,
۶,پاس,۲۲,۵,۱۲,۵,۲۵,۲۳,۲,۲۷,
۷,سپاهان,۲۲,۵,۱۱,۶,۱۹,۲۳,۴-,۲۷,
۸,فولاد,۲۲,۶,۷,۹,۲۳,۲۷,۴-,۲۵,
۹,فجر سپاسی,۲۲,۵,۹,۸,۲۰,۲۵,۵-,۲۴,صعود به جام برندگان جام آسیا ۰۲-۲۰۰۱
۱۰,استقلال رشت,۲۲,۷,۳,۱۲,۲۳,۴۳,۲۰-,۲۴,
۱۱,برق شیراز,۲۲,۴,۹,۹,۲۳,۲۶,۳-,۲۱,
۱۲,تراکتورسازی,۲۲,۵,۲,۱۵,۱۸,۳۵,۱۷-,۱۷,
