Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Sepahan (C),26,16,4,6,47,27,+20,52,Qualification for the 2004 AFC Champions League
2,Pas,26,13,6,7,37,23,+14,45,
3,Persepolis,26,11,11,4,30,21,+9,44,
4,Fajr,26,11,9,6,28,21,+7,42,
5,Paykan,26,10,7,9,27,24,+3,37,
6,Saipa,26,9,8,9,29,30,−1,35,
7,Foolad,26,9,7,10,34,36,−2,34,
8,Zob Ahan,26,10,4,12,22,29,−7,34,Qualification for the 2004 AFC Champions League
9,Esteghlal,26,8,8,10,32,30,+2,32,
10,Bargh,26,9,5,12,28,37,−9,32,
11,Est. Ahvaz,26,6,10,10,24,30,−6,28,
12,Aboumoslem,26,5,11,10,22,26,−4,26,
13,Sanat Naft (R),26,6,8,12,25,34,−9,26,Relegation to the 2003–04 Azadegan League
14,Malavan (R),26,6,8,12,17,34,−17,26,Relegation to the 2003–04 Azadegan League
