Home \ Away,PRS,EST,FOL,PAS,ABU,ZOB,PAY,BGH,SEP,FJR,SAP,MLV,ESR,TRK
Persepolis,,0–0,1–1,1–3,3–2,3–0,1–0,0–1,3–2,1–0,1–1,2–1,2–1,2–1
Esteghlal,1–1,,0–0,1–3,2–1,2–2,1–0,1–0,3–0,1–1,2–2,4–0,3–2,4–0
Foolad,1–2,1–2,,1–2,1–0,0–0,1–0,3–2,1–1,1–0,1–0,1–0,2–1,2–0
PAS Tehran,0–0,2–1,3–3,,1–1,1–1,4–1,1–1,0–0,1–2,4–3,5–0,2–0,0–0
Aboumoslem,1–1,1–1,2–0,1–1,,0–1,3–1,1–0,4–3,1–0,0–3,1–0,9–2,2–1
Zob Ahan,1–1,2–1,1–1,0–0,1–2,,0–1,0–0,0–2,2–0,0–0,4–1,1–0,1–0
Paykan,1–2,1–3,1–2,0–0,0–0,3–1,,3–0,0–0,2–1,1–0,3–0,4–0,0–0
Bargh Shiraz,0–0,1–1,1–1,3–0,2–2,1–3,0–0,,0–0,0–1,2–0,2–0,2–0,1–0
Sepahan,0–0,0–1,2–2,1–3,1–0,2–0,1–0,3–0,,0–0,0–0,0–1,1–0,0–1
Fajr Sepasi,1–0,0–0,1–1,1–0,2–0,0–2,0–2,0–0,0–1,,1–1,0–1,3–0,1–1
Saipa,2–4,0–1,1–0,0–1,0–1,2–1,0–1,2–3,2–0,1–0,,1–1,2–0,2–0
Malavan,1–1,1–0,0–1,0–0,1–1,1–3,0–1,1–1,0–0,1–0,1–1,,1–1,3–0
Est. Rasht,1–3,0–1,0–1,1–1,2–0,1–1,1–0,1–2,1–1,0–0,0–0,1–2,,2–0
Tractor Sazi,0–1,0–1,0–3,1–1,4–1,0–2,1–2,0–3,0–0,0–0,0–0,2–2,0–0,
