0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ميزبان / ميهمان۱,ابو,برق,استقلال,استقلال رشت,فول,ملو,پاس,پیک,الگو:Fb team پیروزی,سای,سپا,فجر,ترا,ذوب
ابومسلم,,۱–۰,۱–۱,۹–۲,۲–۰,۱–۰,۱–۱,۳–۱,۱–۱,۳–۰,۴–۳,۱–۰,۲–۱,۰–۱
برق شیراز,۲–۲,,۱–۱,۲–۰,۱–۱,۲–۰,۳–۰,۰–۰,۰–۰,۲–۱,۰–۰,۰–۱,۱–۰,۱–۳
استقلال,۲–۱,۱–۰,,۳–۲,۰–۰,۴–۰,۱–۳,۱–۰,۱–۱,۲–۲,۳–۰,۱–۱,۴–۰,۲–۲
استقلال رشت,۲–۰,۱–۲,۰–۱,,۰–۱,۱–۲,۱–۱,۱–۰,۱–۳,۰–۰,۱–۱,۰–۰,۲–۰,۱–۱
فولاد,۱–۰,۳–۲,۱–۲,۲–۱,,۱–۰,۱–۲,۱–۰,۱–۲,۱–۰,۱–۱,۱–۰,۲–۰,۰–۰
ملوان,۱–۱,۱–۱,۱–۰,۱–۱,۰–۱,,۰–۰,۰–۱,۱–۱,۱–۱,۰–۰,۱–۰,۳–۰,۱–۳
پاس همدان,۱–۱,۱–۱,۲–۱,۲–۰,۳–۳,۵–۰,,۴–۱,۰–۰,۴–۳,۰–۰,۱–۲,۰–۰,۱–۱
پیکان,۰–۰,۳–۰,۱–۳,۴–۰,۱–۲,۳–۰,۰–۰,,۱–۲,۱–۰,۰–۰,۲–۱,۰–۰,۳–۱
پرسپولیس,۳–۲,۰–۱,۰–۰,۲–۱,۱–۱,۲–۱,۱–۳,۱–۰,,۱–۱,۳–۲,۱–۰,۲–۱,۳–۰
سایپا,۰–۱,۲–۳,۰–۱,۲–۰,۱–۰,۱–۱,۰–۱,۰–۱,۲–۴,,۲–۱,۱–۰,۲–۰,۲–۱
سپاهان,۱–۰,۳–۰,۰–۱,۱–۰,۲–۲,۰–۱,۱–۳,۱–۰,۰–۰,۰–۰,,۰–۰,۰–۱,۲–۰
فجر سپاسی,۲–۰,۰–۰,۰–۰,۳–۰,۱–۱,۰–۱,۱–۰,۰–۲,۱–۰,۱–۱,۰–۱,,۱–۱,۰–۲
تراکتور,۴–۱,۰–۳,۰–۱,۰–۰,۰–۳,۲–۲,۱–۱,۱–۲,۰–۱,۰–۰,۰–۰,۰–۰,,۰–۲
ذوب‌آهن,۱–۲,۰–۰,۲–۱,۱–۰,۱–۱,۴–۱,۰–۰,۰–۱,۱–۱,۰–۰,۰–۲,۲–۰,۱–۰,
