Home \ Away,SEP,EST,ZOB,PRS,TRK,FOL,MES,MLV,SNA,SAB,SAP,SHT,NAF,SHB,RAH,PAS,PAY,STL
Sepahan,,1–1,2–0,0–0,1–0,3–2,1–1,0–0,2–0,0–0,4–1,1–0,2–0,1–0,2–2,2–1,3–2,5–0
Esteghlal,4–3,,1–2,1–0,1–2,1–2,0–0,2–0,6–2,2–0,3–2,0–0,3–1,2–1,1–0,3–2,3–0,2–2
Zob Ahan,1–0,1–1,,0–3,0–0,1–1,2–0,3–0,6–0,2–1,0–2,2–1,2–0,2–1,0–0,1–0,2–1,2–0
Persepolis,1–4,0–1,2–0,,1–0,3–1,0–0,2–3,2–0,1–4,2–1,0–0,3–1,2–1,0–0,1–1,5–1,2–1
Tractor Sazi,1–3,1–1,1–2,1–0,,1–1,1–0,2–0,3–1,1–2,2–2,1–0,3–1,2–1,3–1,0–1,2–1,3–0
Foolad,1–1,4–1,2–2,1–1,1–1,,1–0,1–0,4–1,0–0,2–1,4–0,2–1,1–0,0–0,5–2,6–0,0–1
Mes Kerman,3–2,1–1,1–2,1–0,1–1,1–0,,1–0,2–0,2–1,1–0,5–2,0–0,3–0,2–0,0–0,1–1,1–0
Malavan,0–0,0–1,1–0,2–1,2–0,1–0,2–1,,2–1,2–0,2–3,0–0,1–1,3–2,1–0,3–0,2–0,0–1
Sanat Naft,0–1,2–0,2–1,0–1,1–3,2–2,1–0,2–1,,3–1,1–0,1–1,1–0,1–0,0–1,2–0,2–1,2–0
Saba Qom,1–1,1–1,1–2,2–1,0–0,1–1,1–1,1–0,0–0,,1–1,4–4,2–2,0–1,5–2,1–1,2–1,1–0
Saipa,2–1,0–0,0–2,0–1,1–1,5–5,2–4,1–1,1–0,1–0,,0–1,0–0,2–1,0–1,2–1,1–1,2–2
Sh. Tabriz,1–2,2–3,1–1,1–1,1–1,0–2,2–1,2–1,3–2,0–1,2–2,,1–0,2–2,1–0,2–2,2–4,3–0
Naft Tehran,0–0,0–0,1–2,1–5,1–1,0–3,1–1,0–0,5–1,0–0,0–0,3–1,,2–2,1–0,4–1,4–1,2–2
Shahin Bushehr,0–0,0–0,1–1,1–2,0–0,2–0,1–1,0–1,1–2,0–0,1–0,1–1,0–1,,2–0,0–1,2–1,1–1
Rah Ahan,1–1,0–1,2–2,2–3,0–1,1–0,2–2,2–0,0–2,0–2,0–0,0–1,1–0,1–1,,2–1,0–0,3–0
PAS Hamedan,0–1,0–2,2–1,1–2,0–0,0–0,1–0,1–1,1–0,1–0,2–2,1–1,1–1,1–2,1–0,,1–0,1–1
Paykan,2–4,1–3,0–0,3–0,1–2,0–2,1–2,1–1,1–0,3–2,1–0,1–0,1–3,0–1,1–0,3–1,,3–1
Steel Azin,1–2,1–3,0–2,0–2,0–1,2–1,1–1,0–0,2–1,3–1,1–5,1–6,1–1,0–2,2–2,3–0,0–0,
