0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
میزبان ╲ میهمان,است,فول,ملو,مس,نفت,پاس,پیک,پرس,راه,صبا,سای,صنآ,سپا,شاه,شهر,اسآ,ترا,ذوب
استقلال,,۱–۲,۲–۰,۰–۰,۳–۱,۳–۲,۳–۰,۱–۰,۱–۰,۲–۰,۳–۲,۶–۲,۴–۳,۲–۱,۰–۰,۲–۲,۱–۲,۱–۲
فولاد,۴–۱,,۱–۰,۱–۰,۲–۱,۵–۲,۶–۰,۱–۱,۰–۰,۰–۰,۲–۱,۴–۱,۱–۱,۱–۰,۴–۰,۰–۱,۱–۱,۲–۲
ملوان,۰–۱,۱–۰,,۲–۱,۱–۱,۳–۰,۲–۰,۲–۱,۱–۰,۲–۰,۲–۳,۲–۱,۰–۰,۳–۲,۰–۰,۰–۱,۲–۰,۱–۰
مس کرمان,۱–۱,۱–۰,۱–۰,,۰–۰,۰–۰,۱–۱,۱–۰,۲–۰,۲–۱,۱–۰,۲–۰,۳–۲,۳–۰,۵–۲,۱–۰,۱–۱,۱–۲
نفت تهران,۰–۰,۰–۳,۰–۰,۱–۱,,۴–۱,۴–۱,۱–۵,۱–۰,۰–۰,۰–۰,۵–۱,۰–۰,۲–۲,۳–۱,۲–۲,۱–۱,۱–۲
پاس همدان,۰–۲,۰–۰,۱–۱,۱–۰,۱–۱,,۱–۰,۱–۲,۱–۰,۱–۰,۲–۲,۱–۰,۰–۱,۱–۲,۱–۱,۱–۱,۰–۰,۲–۱
پیکان,۱–۳,۰–۲,۱–۱,۱–۲,۱–۳,۳–۱,,۳–۰,۱–۰,۳–۲,۱–۰,۱–۰,۲–۴,۰–۱,۱–۰,۳–۱,۱–۲,۰–۰
پرسپولیس,۰–۱,۳–۱,۲–۳,۰–۰,۳–۱,۱–۱,۵–۱,,۰–۰,۱–۴,۲–۱,۲–۰,۱–۴,۲–۱,۰–۰,۲–۱,۱–۰,۲–۰
راه‌آهن,۰–۱,۱–۰,۲–۰,۲–۲,۱–۰,۲–۱,۰–۰,۲–۳,,۰–۲,۰–۰,۰–۲,۱–۱,۱–۱,۰–۱,۳–۰,۰–۱,۲–۲
صبای قم,۱–۱,۱–۱,۱–۰,۱–۱,۲–۲,۱–۱,۲–۱,۲–۱,۵–۲,,۱–۱,۰–۰,۱–۱,۰–۱,۴–۴,۱–۰,۰–۰,۱–۲
سایپا,۰–۰,۵–۵,۱–۱,۲–۴,۰–۰,۲–۱,۱–۱,۰–۱,۰–۱,۱–۰,,۱–۰,۲–۱,۲–۱,۰–۱,۲–۲,۱–۱,۰–۲
صنعت نفت,۲–۰,۲–۲,۲–۱,۱–۰,۱–۰,۲–۰,۲–۱,۰–۱,۰–۱,۳–۱,۱–۰,,۰–۱,۱–۰,۱–۱,۲–۰,۱–۳,۲–۱
سپاهان,۱–۱,۳–۲,۰–۰,۱–۱,۲–۰,۲–۱,۳–۲,۰–۰,۲–۲,۰–۰,۴–۱,۲–۰,,۱–۰,۱–۰,۵–۰,۱–۰,۲–۰
شاهین,۰–۰,۲–۰,۰–۱,۱–۱,۰–۱,۰–۱,۲–۱,۱–۲,۲–۰,۰–۰,۱–۰,۱–۲,۰–۰,,۱–۱,۱–۱,۰–۰,۱–۱
شهرداری تبریز,۲–۳,۰–۲,۲–۱,۲–۱,۱–۰,۲–۲,۲–۴,۱–۱,۱–۳,۰–۱,۲–۲,۳–۲,۱–۲,۲–۲,,۳–۰,۱–۱,۱–۱
استیل‌آذین,۱–۳,۲–۱,۰–۰,۱–۱,۱–۱,۳–۰,۰–۰,۰–۲,۲–۲,۳–۱,۱–۵,۲–۱,۱–۲,۰–۲,۱–۶,,۰–۱,۰–۲
تراکتور,۱–۱,۱–۱,۲–۰,۱–۰,۳–۱,۰–۱,۲–۱,۱–۰,۳–۱,۱–۲,۲–۲,۳–۱,۱–۳,۲–۱,۱–۰,۳–۰,,۱–۲
ذوب‌آهن,۱–۱,۱–۱,۳–۰,۲–۰,۲–۰,۱–۰,۲–۱,۰–۳,۰–۰,۲–۱,۰–۲,۶–۰,۱–۰,۲–۱,۲–۱,۲–۰,۰–۰,
