رتبه,بازیکن,باشگاه,گل‌ها
۱,رضا نوروزی,فولاد خوزستان,۲۴
۲,ادینیو,مس کرمان,۲۲
۳,کریم انصاری‌فرد,سایپا,۲۰
۴,ابراهیم توره,سپاهان,۱۸
۵,مهرداد اولادی,ملوان,۱۴
۵,آرش برهانی,استقلال,۱۴
۵,سعید دقیقی,شهرداری تبریز,۱۴
۸,سید محمد حسینی,ذوب آهن,۱۳
۸,روح‌الله عرب,نفت آبادان,۱۳
۱۰,آرش افشین,فولاد خوزستان,۱۱
۱۱,فرهاد مجیدی,استقلال,۱۰
۱۱,ژوزیلی فریرا,نفت تهران,۱۰
۱۳,محمد غلامی,استیل آذین,۹
۱۳,سیاوش اکبرپور,استیل آذین,۹
۱۳,علی علی‌زاده,تراکتورسازی,۹
۱۳,محمد نوری,پیروزی,۹
۱۷,۹ بازیکن,۹ بازیکن,۸
۲۶,۴ بازیکن,۴ بازیکن,۷
۳۰,۴ بازیکن,۴ بازیکن,۶
۳۴,۱۹ بازیکن,۱۹ بازیکن,۵
۵۳,۱۹ بازیکن,۱۹ بازیکن,۴
۷۲,۱۸ بازیکن,۱۸ بازیکن,۳
۹۰,۴۱ بازیکن,۴۱ بازیکن,۲
۱۳۱,۸۳ بازیکن,۸۳ بازیکن,۱
_,۱۱ بازیکن (۱),۱۱ بازیکن (۱),گل به خودی
کل گل‌ها,کل گل‌ها,کل گل‌ها,۷۴۲
کل بازی‌ها,کل بازی‌ها,کل بازی‌ها,۳۰۶
میانگین گل‌ها,میانگین گل‌ها,میانگین گل‌ها,۲٫۴۲
