Home \ Away,DMG,EST,FJR,FOL,MLV,MES,MSA,NAF,PRS,RAH,SAB,SAP,SNA,SEP,SHB,SHT,TRK,ZOB
Damash,,0–1,1–0,3–2,0–0,1–1,2–1,1–3,2–3,3–1,0–0,0–3,0–0,0–1,0–0,2–1,2–3,1–1
Esteghlal,1–0,,2–0,2–1,1–0,0–1,1–0,3–0,2–3,1–1,3–0,1–0,1–2,1–1,3–2,0–0,2–3,2–2
Fajr Sepasi,0–1,2–1,,2–1,2–0,1–0,3–3,0–0,1–2,1–2,0–0,1–1,2–0,3–2,1–0,2–1,1–2,0–0
Foolad,1–1,1–4,1–0,,1–0,0–1,4–0,2–1,1–2,0–0,3–0,1–2,2–0,1–2,0–0,0–0,2–1,0–1
Malavan,0–1,4–2,2–0,2–0,,0–0,4–0,0–1,2–0,0–0,1–0,1–1,1–2,3–4,0–0,1–0,0–0,3–3
Mes Kerman,2–2,1–2,1–2,1–1,1–0,,4–1,0–1,1–0,0–0,0–0,1–0,2–2,3–0,3–2,1–1,1–0,2–0
Mes Sarcheshmeh,0–4,1–3,1–0,0–1,0–0,2–0,,1–2,2–2,2–1,0–1,0–0,2–1,0–2,1–0,1–2,0–0,0–0
Naft Tehran,1–0,0–2,1–0,1–3,3–1,3–2,1–0,,0–3,2–2,2–2,2–0,1–3,0–1,2–1,0–0,1–1,0–1
Persepolis,0–3,0–2,2–3,1–1,1–1,1–1,2–1,0–0,,3–4,2–0,2–4,3–1,0–0,4–1,1–2,0–1,0–0
Rah Ahan,0–1,2–2,1–1,0–0,0–1,2–0,3–1,2–1,1–1,,0–2,2–2,0–2,1–1,4–1,2–0,0–1,2–2
Saba Qom,0–1,1–1,1–1,1–0,1–0,1–1,3–1,0–0,2–2,2–1,,3–0,2–2,0–0,1–1,3–1,2–2,0–1
Saipa,3–0,2–2,5–0,0–0,1–1,4–2,3–1,0–0,0–1,0–1,0–0,,2–2,0–4,3–0,1–2,0–1,0–1
Sanat Naft,2–0,1–2,1–1,2–2,1–2,1–0,2–0,2–1,4–2,2–1,2–3,0–4,,0–4,1–1,0–2,3–3,1–1
Sepahan,3–0,1–1,1–0,2–0,3–2,4–0,0–0,0–1,1–1,3–2,1–2,2–1,2–1,,2–0,1–0,2–1,1–1
Shahin Bushehr,1–1,1–1,1–0,1–2,0–0,1–0,1–0,1–0,2–1,0–0,4–0,2–2,1–1,1–1,,2–2,0–3,1–1
Sh. Tabriz,0–0,1–2,0–0,1–1,2–0,0–1,1–1,2–2,2–2,2–2,1–3,1–1,2–1,0–2,1–1,,0–1,0–0
Tractor Sazi,3–1,0–2,0–0,2–0,2–0,3–1,0–0,1–2,4–1,1–1,2–3,2–2,4–1,1–0,1–0,5–1,,2–1
Zob Ahan,0–0,0–2,1–1,1–0,0–0,1–0,1–0,1–1,2–2,0–2,2–1,0–3,1–3,0–0,1–0,2–2,0–1,
