Position,Player,Club,Goals
1,Karim Ansarifard,Saipa,21
2,Founéké Sy,Sanat Naft,20
3,Reza Enayati,Saba Qom,18
4,Ali Karimi,Persepolis,11
5,Saeed Daghighi,Shahrdari Tabriz,10
5,Mojtaba Jabbari,Esteghlal,10
5,Reza Norouzi,Foolad,10
5,Flávio Paixão,Tractor Sazi,10
5,Mehdi Rajabzadeh,Fajr Sepasi,10
10,Bahador Abdi,Rah Ahan,9
10,Omid Alishah,Rah Ahan,9
10,Farhad Majidi,Esteghlal,9
10,Emad Mohammed Ridha,Sepahan,9
14,9 players,9 players,8
23,7 players,7 players,7
30,7 players,7 players,6
37,13 players,13 players,5
50,16 player,16 player,4
66,24 player,24 player,3
90,45 player,45 player,2
135,92 player,92 player,1
_,13 players 1,13 players 1,OG
_,technical loses of 3–0,technical loses of 3–0,1
Total goals (Including technical loses),Total goals (Including technical loses),Total goals (Including technical loses),720
Total games,Total games,Total games,306
Average per game,Average per game,Average per game,2.35
