Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Esteghlal (C),34,19,10,5,42,18,+24,67,Qualification for the 2014 AFC Champions League group stage
2,Tractor Sazi,34,18,11,5,55,32,+23,65,Qualification for the 2014 AFC Champions League group stage
3,Sepahan,34,19,7,8,64,33,+31,64,Qualification for the 2014 AFC Champions League group stage
4,Foolad,34,14,14,6,52,35,+17,56,Qualification for the 2014 AFC Champions League group stage
5,Naft Tehran,34,14,13,7,42,29,+13,55,
6,Mes Kerman,34,12,15,7,33,26,+7,51,
7,Persepolis,34,12,14,8,41,31,+10,50,
8,Rah Ahan,34,12,12,10,49,39,+10,48,
9,Saba Qom,34,10,15,9,37,33,+4,45,
10,Saipa,34,11,12,11,37,33,+4,45,
11,Damash,34,11,10,13,36,47,−11,43,
12,Fajr Sepasi,34,10,12,12,42,38,+4,42,
13,Malavan,34,9,13,12,34,39,−5,40,
14,Zob Ahan (O),34,9,11,14,36,40,−4,38,Qualification to relegation play-offs
15,Aluminium Hormozgan (R),34,7,14,13,26,42,−16,35,Relegation to 2013–14 Azadegan League
16,Sanat Naft (R),34,4,13,17,31,63,−32,25,Relegation to 2013–14 Azadegan League
17,Paykan (R),34,6,7,21,26,70,−44,25,Relegation to 2013–14 Azadegan League
18,Gahar Zagros (R),34,3,10,21,24,59,−35,19,Relegation to 2013–14 Azadegan League
