Home \ Away,ALH,DMG,EST,FJR,FOL,GZA,MLV,NAF,PAY,PRS,RAH,SAB,SAP,MES,SNA,SEP,TRK,ZOB
Aluminium Hormozgan,,0–0,0–2,3–3,1–1,1–0,3–2,0–0,0–1,0–0,1–1,0–1,1–0,1–0,1–1,1–1,1–2,0–0
Damash,1–2,,1–0,1–0,1–1,1–0,0–0,2–0,5–3,1–0,0–1,1–1,1–1,0–1,3–1,2–1,1–2,0–0
Esteghlal,1–0,1–2,,0–0,2–3,2–0,1–1,2–1,2–0,0–0,1–0,1–0,1–0,2–1,2–1,1–1,1–0,1–0
Fajr Sepasi,6–0,6–1,0–5,,1–1,0–0,2–1,0–0,0–0,0–2,2–2,1–1,1–0,1–1,2–0,0–0,1–0,3–0
Foolad,2–1,2–2,0–1,2–1,,4–1,1–0,3–1,3–1,1–1,2–1,2–2,2–0,0–1,3–0,1–3,3–2,2–1
Gahar Zagros,0–1,1–2,0–2,0–3,1–1,,0–1,0–0,2–0,1–1,2–1,1–1,0–3,0–1,2–2,1–4,1–2,1–0
Malavan,1–0,3–1,0–0,1–0,2–2,1–1,,1–3,0–0,2–2,0–0,0–1,1–0,1–1,2–2,0–2,1–1,0–1
Naft Tehran,0–0,2–0,1–1,2–1,0–0,0–0,2–0,,1–2,1–1,1–1,1–0,0–0,0–0,4–1,3–4,1–1,1–0
Paykan,2–1,0–2,0–3,1–2,0–5,3–2,1–0,1–3,,1–2,2–4,1–4,1–2,0–0,0–0,1–0,1–1,2–2
Persepolis,1–0,1–0,0–0,2–3,0–0,3–2,1–0,0–0,6–0,,2–0,0–2,4–1,2–2,2–2,1–0,0–1,3–2
Rah Ahan,3–0,1–0,0–2,1–0,2–1,3–1,0–1,0–1,1–0,1–0,,1–1,0–0,1–1,2–1,0–1,0–1,1–1
Saba Qom,2–1,3–3,1–1,1–1,0–0,1–0,1–3,1–2,4–0,0–0,0–1,,2–1,0–1,3–2,1–1,0–0,0–0
Saipa,1–0,2–0,2–1,3–0,1–1,2–2,2–2,0–1,2–1,0–0,0–1,2–0,,0–0,1–0,0–3,2–2,0–0
Mes Kerman,0–0,1–0,0–0,1–0,0–0,5–1,1–2,0–1,0–0,2–1,4–0,0–0,2–2,,1–0,1–0,1–3,1–0
Sanat Naft,2–2,0–0,1–2,1–1,1–0,0–0,1–1,2–6,2–0,0–1,1–0,2–1,0–3,0–0,,1–1,0–1,1–1
Sepahan,2–2,3–0,0–1,1–0,0–1,2–1,3–1,3–1,2–0,2–0,2–2,2–0,0–2,1–0,3–0,,1–4,4–3
Tractor Sazi,1–1,2–2,2–0,3–1,1–1,5–0,1–0,2–1,1–0,3–1,3–0,0–0,0–0,2–1,3–2,1–3,,1–1
Zob Ahan,0–1,1–0,0–0,1–0,2–1,1–0,2–3,0–1,2–1,1–1,0–0,1–2,3–2,1–2,6–0,0–4,3–1,
