Home \ Away,DMG,EST,ESK,FJR,FOL,GOS,MLV,MES,NAF,PRS,RAH,SAB,SAP,SEP,TRK,ZOB
Damash,,1–2,0–0,1–3,1–2,1–2,0–3,1–1,1–1,0–1,1–1,2–1,1–1,1–1,1–0,5–1
Esteghlal,1–0,,1–0,1–0,2–0,0–0,1–0,1–1,0–1,0–0,3–1,1–0,2–0,1–2,1–3,1–1
Est. Khuzestan,1–1,2–0,,0–0,0–2,3–1,0–2,0–0,2–4,0–1,3–2,1–0,0–0,0–2,1–4,2–0
Fajr Sepasi,2–2,2–4,2–1,,0–0,0–0,2–1,1–1,0–1,1–1,0–1,1–2,0–1,2–1,0–0,0–0
Foolad,3–1,0–1,3–2,1–0,,1–1,1–0,1–0,0–2,2–1,0–0,2–0,4–1,0–0,2–1,1–0
Gostaresh,0–2,1–2,1–1,2–0,0–1,,1–2,0–0,1–2,1–0,5–0,0–1,1–2,1–1,1–2,2–0
Malavan,0–0,4–2,2–1,3–1,1–2,2–1,,2–1,2–0,0–1,0–1,2–1,0–3,2–3,1–1,1–2
Mes Kerman,1–1,1–1,1–1,1–2,2–2,1–2,1–3,,0–1,0–6,2–0,0–0,2–2,0–0,1–1,0–0
Naft Tehran,0–0,1–1,0–0,2–0,1–1,4–1,0–0,1–0,,1–0,2–1,1–2,2–1,2–2,3–0,0–1
Persepolis,2–0,0–0,0–0,1–0,3–1,1–0,1–0,2–0,0–0,,2–2,3–1,1–0,2–0,1–0,2–1
Rah Ahan,1–0,0–1,1–0,0–0,0–1,1–2,0–0,0–0,1–3,0–1,,0–0,0–0,1–1,1–2,0–1
Saba Qom,3–2,1–2,1–1,3–0,0–1,2–2,1–0,2–2,1–2,1–1,2–1,,0–0,0–1,1–3,2–1
Saipa,2–3,0–1,1–1,0–0,0–0,1–1,1–2,1–0,0–0,1–0,0–3,2–1,,0–0,3–3,1–0
Sepahan,2–0,0–0,3–1,3–0,2–0,0–0,1–2,0–0,1–0,2–0,0–0,2–1,2–2,,0–1,1–0
Tractor Sazi,0–0,1–1,1–0,0–0,2–2,1–1,2–2,0–0,1–0,1–0,0–3,1–1,1–0,1–2,,2–2
Zob Ahan,2–1,2–0,0–1,0–1,0–0,0–0,1–1,1–1,3–2,0–0,2–3,1–1,0–0,0–1,2–4,
