Home \ Away,EST,ESK,FOL,GOS,MLV,NFT,NAF,PAD,PAY,PRS,RAH,SAB,SAP,SEP,TRK,ZOB
Esteghlal,,1–0,0–1,3–0,3–1,1–0,0–1,0–0,1–0,1–2,1–0,1–1,3–2,2–1,1–4,1–1
Est. Khuzestan,4–4,,0–3,1–1,1–3,0–0,1–2,1–1,1–1,1–1,1–0,2–0,2–0,1–3,2–2,1–1
Foolad,2–1,1–0,,1–0,1–0,2–2,2–2,0–0,0–0,2–0,2–0,0–1,1–1,0–1,3–2,0–2
Gostaresh,0–0,2–2,3–1,,3–2,0–0,1–1,0–1,1–0,2–1,2–0,0–0,2–3,0–2,1–3,3–2
Malavan,1–1,1–1,0–0,1–1,,1–0,1–1,2–2,1–1,2–1,3–0,0–0,0–2,1–0,0–0,1–3
Naft Masjed Soleyman,0–2,0–0,2–1,1–1,3–2,,0–2,0–3,0–0,2–2,1–1,1–0,0–1,1–3,1–2,1–1
Naft Tehran,2–0,1–1,0–1,2–1,2–0,1–0,,1–0,0–0,2–1,1–2,1–0,3–1,3–0,2–1,0–0
Padideh,1–1,1–1,0–0,2–1,0–0,1–1,1–2,,1–2,0–1,3–0,1–1,0–0,0–1,1–0,0–0
Paykan,0–3,1–1,1–0,1–1,1–0,0–0,1–1,0–0,,0–1,2–3,0–1,0–0,1–2,0–2,1–3
Persepolis,1–0,2–1,1–2,2–2,0–1,1–1,1–1,1–1,1–0,,2–2,0–0,0–1,1–2,1–3,1–0
Rah Ahan,1–2,2–2,0–1,1–0,1–0,2–2,0–1,1–0,0–0,1–2,,2–2,2–1,1–0,0–3,0–3
Saba Qom,1–2,1–2,0–2,1–0,1–1,2–0,1–2,0–0,0–0,0–2,1–0,,1–0,2–0,2–3,2–1
Saipa,0–1,3–2,3–1,0–0,1–0,0–0,2–1,4–0,1–1,2–2,1–2,3–0,,2–2,0–1,1–0
Sepahan,3–1,3–2,1–1,4–1,1–1,1–0,1–1,1–0,2–0,1–0,3–0,1–1,2–0,,2–1,1–1
Tractor Sazi,2–2,3–0,2–1,1–1,1–0,3–0,3–3,1–3,1–2,1–0,4–1,4–2,2–1,1–1,,2–1
Zob Ahan,2–1,2–1,0–1,0–0,2–0,2–0,5–3,2–0,1–0,1–0,2–2,3–1,4–1,1–1,0–0,
