رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,Unnamed: 10
۱,سپاهان اصفهان,۳۰,۱۷,۸,۵,۴۶,۲۷,۱۹+,۵۹,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۶
۲,تراکتورسازی,۳۰,۱۷,۷,۶,۵۸,۳۴,۲۴+,۵۸,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۶
۳,نفت تهران,۳۰,۱۶,۱۰,۴,۴۵,۲۸,۱۷+,۵۸,پلی‌آف لیگ قهرمانان آسیا ۲۰۱۶
۴,ذوب‌آهن,۳۰,۱۴,۱۰,۶,۴۶,۲۶,۲۰+,۵۲,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۶
۵,فولاد,۳۰,۱۵,۷,۸,۳۳,۲۴,۹+,۵۲,
۶,استقلال,۳۰,۱۳,۸,۹,۴۰,۳۴,۶+,۴۷,
۷,سایپا,۳۰,۱۱,۸,۱۱,۳۶,۳۴,۲+,۴۱,
۸,پرسپولیس,۳۰,۹,۹,۱۲,۳۱,۳۵,۴−,۳۶,
۹,صبا,۳۰,۸,۱۰,۱۲,۲۵,۳۴,۹−,۳۴,
۱۰,پدیده,۳۰,۶,۱۵,۹,۲۳,۲۵,۲−,۳۳,
۱۱,گسترش,۳۰,۶,۱۳,۱۱,۳۰,۳۹,۹−,۳۱,
۱۲,راه‌آهن,۳۰,۸,۷,۱۵,۲۷,۴۸,۲۱−,۳۱,
۱۳,ملوان,۳۰,۶,۱۲,۱۲,۲۶,۳۴,۸−,۳۰,
۱۴,استقلال خوزستان,۳۰,۴,۱۵,۱۱,۳۵,۴۶,۱۱−,۲۷,پلی‌آف لیگ آزادگان ۹۵–۱۳۹۴
۱۵,پیکان,۳۰,۴,۱۴,۱۲,۱۶,۲۹,۱۳−,۲۶,سقوط به لیگ آزادگان ۹۵–۱۳۹۴
۱۶,نفت مسجدسلیمان,۳۰,۳,۱۳,۱۴,۱۹,۳۹,۲۰−,۲۲,سقوط به لیگ آزادگان ۹۵–۱۳۹۴
