رتبه,تیم ن ب و,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,استقلال خوزستان,۳۰,۱۵,۱۲,۳,۳۳,۱۴,۱۹+,۵۷,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۷
۲,پرسپولیس,۳۰,۱۶,۹,۵,۵۰,۳۴,۱۶+,۵۷,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۷
۳,استقلال,۳۰,۱۳,۱۳,۴,۴۳,۲۸,۱۵+,۵۲,مرحله پلی‌آف لیگ قهرمانان آسیا ۲۰۱۷
۴,تراکتورسازی,۳۰,۱۳,۱۲,۵,۴۳,۲۷,۱۶+,۵۱,
۵,نفت تهران,۳۰,۱۳,۱۰,۷,۳۰,۲۱,۹+,۴۹,
۶,ذوب‌آهن,۳۰,۱۱,۱۳,۶,۳۸,۲۶,۱۲+,۴۶,مرحله گروهی لیگ قهرمانان آسیا ۲۰۱۷
۷,صبا,۳۰,۹,۱۵,۶,۳۰,۲۴,۶+,۴۲,
۸,سایپا,۳۰,۱۱,۷,۱۲,۲۸,۳۱,۳−,۴۰,
۹,گسترش,۳۰,۱۰,۹,۱۱,۳۶,۳۲,۴+,۳۹,
۱۰,پدیده,۳۰,۱۰,۹,۱۱,۳۰,۳۵,۵−,۳۹,
۱۱,سپاهان,۳۰,۸,۱۴,۸,۲۹,۳۰,۱−,۳۸,
۱۲,فولاد,۳۰,۹,۸,۱۳,۲۶,۳۷,۱۱−,۳۵,
۱۳,سیاه جامگان,۳۰,۷,۶,۱۷,۲۳,۳۴,۱۱−,۲۷,
۱۴,ملوان,۳۰,۵,۱۲,۱۳,۲۳,۳۵,۱۲−,۲۷,سقوط به لیگ آزادگان ۹۶–۱۳۹۵
۱۵,راه‌آهن,۳۰,۵,۱۰,۱۵,۲۴,۳۶,۱۲−,۲۵,سقوط به لیگ آزادگان ۹۶–۱۳۹۵
۱۶,استقلال اهواز,۳۰,۲,۷,۲۱,۱۶,۵۸,۴۲−,۱۳,سقوط به لیگ آزادگان ۹۶–۱۳۹۵
