مکان,بازیکن,باشگاه,گل
۱,مهدی طارمی,پرسپولیس,۱۶
۲,محمد ابراهیمی,گسترش فولاد,۱۱
۳,امید ابراهیمی,استقلال,۱۰
۳,مهرداد محمدی,راه‌آهن,۱۰
۲,حسن بیت‌سعید,استقلال خوزستان,۹
۲,ساسان انصاری,فولاد,۹
۵,آلویس نانگ,تراکتورسازی,۷
۵,جابر انصاری,استقلال,۷
۵,رحیم مهدی‌زهیوی,استقلال خوزستان,۷
۵,جری بنگتسون,پرسپولیس,۷
۵,مرتضی تبریزی,ذوب‌آهن,۷
۵,محسن یوسفی,پدیده,۷
۵,غلامرضا رضایی,سایپا,۷
۵,سجاد شهباززاده,استقلال,۷
۵,محمد ایران‌پوریان,تراکتورسازی,۷
۶,امید عالیشاه,پرسپولیس,۶
۶,کاوه رضایی,ذوب‌آهن,۶
۶,مهدی رجب‌زاده,ذوب‌آهن,۶
۶,مسعود حسن‌زاده,ذوب‌آهن,۶
۶,جلال‌الدین علی‌محمدی,صبا,۶
۷,علی علیپور,پرسپولیس,۵
۷,وحید امیری,نفت تهران,۵
۷,مهدی خیری,پدیده,۵
۷,سید جلال رافخایی,ملوان,۵
۷,فرزاد حاتمی,ملوان,۵
۷,محسن کریمی,استقلال,۵
۷,رامین رضاییان,پرسپولیس,۵
۷,محمد قاضی,صبا,۵
۷,بختیار رحمانی,تراکتورسازی,۵
۷,داریوش شجاعیان,گسترش فولاد,۵
