Home \ Away,EST,ESK,FOL,GOS,MST,NAF,PAD,PAY,PRS,SAB,SAP,SNA,SEP,SJA,TRK,ZOB
Esteghlal,,1–2,1–0,2–2,1–1,1–1,1–0,3–2,3–2,2–1,2–0,1–2,2–1,1–1,1–2,2–1
Est. Khuzestan,2–1,,0–1,0–0,1–0,2–2,2–1,2–3,1–1,1–0,0–0,1–0,1–1,0–0,0–1,1–1
Foolad,1–1,1–3,,2–2,1–2,4–2,1–0,1–2,0–3,2–0,2–2,3–0,1–1,0–0,0–0,0–2
Gostaresh,1–1,2–1,0–0,,2–1,0–0,3–0,0–0,0–1,0–0,2–1,1–0,2–1,0–1,0–2,0–0
Machine Sazi,0–3,1–3,0–0,0–0,,0–2,0–2,1–4,0–2,0–0,3–3,1–0,0–1,0–1,0–2,1–2
Naft Tehran,0–1,1–1,2–2,1–1,2–1,,3–0,2–1,0–2,1–2,2–0,2–1,0–1,1–1,0–2,2–1
Padideh,1–2,0–0,0–1,3–2,1–0,0–0,,0–0,1–2,1–0,0–1,3–3,1–1,1–1,0–1,1–1
Paykan,1–1,4–3,2–1,1–1,3–1,0–0,0–2,,0–0,1–1,2–0,3–2,3–2,1–0,0–1,1–2
Persepolis,0–0,1–0,1–1,1–0,1–0,3–0,4–0,2–0,,1–0,1–0,1–0,2–1,3–0,3–0,3–3
Saba Qom,0–2,1–2,0–0,0–0,1–1,0–1,2–3,1–0,0–2,,1–0,0–0,0–1,2–1,3–0,1–1
Saipa,1–2,0–2,1–0,1–1,1–0,1–0,1–1,0–1,0–1,0–0,,0–2,1–1,1–0,0–0,0–0
Sanat Naft,0–3,1–1,0–1,0–1,3–0,0–0,0–3,1–0,1–0,2–1,0–1,,1–0,1–1,0–0,0–3
Sepahan,1–1,3–1,1–1,1–0,0–3,2–1,0–1,1–1,1–3,4–1,3–1,0–0,,2–1,2–0,2–1
Siah Jamegan,0–1,2–1,1–1,1–1,1–0,2–2,1–1,1–2,1–0,2–2,0–2,0–1,1–1,,1–2,2–1
Tractor Sazi,1–0,2–2,2–2,1–1,0–0,1–0,1–1,3–1,0–0,2–1,0–0,2–2,1–2,3–0,,4–1
Zob Ahan,0–2,2–0,1–0,1–1,2–1,1–1,2–0,3–0,1–0,0–1,1–1,1–1,2–0,1–0,1–2,
