Home \ Away,EST,ESK,FOL,MST,MIS,NSJ,PAD,PJJ,PAY,PRS,SAP,SNA,SEP,SPR,TRC,ZOB
Esteghlal,,4–2,0–0,1–0,1–0,1–0,0–0,2–0,0–0,0–0,0–0,3–0,0–1,2–1,3–0,3–0
Est. Khuzestan,0–1,,1–3,0–1,1–2,1–1,1–2,0–2,0–1,0–0,1–2,1–1,1–1,2–0,0–3,1–0
Foolad,1–3,0–0,,1–1,1–0,2–1,1–1,2–1,1–1,2–1,1–2,1–4,1–1,0–1,2–2,1–1
Machine Sazi,0–0,1–1,0–1,,1–1,0–0,1–2,1–0,0–1,0–1,0–0,1–0,1–1,1–1,0–2,1–2
Naft MIS,1–2,0–0,0–0,1–1,,2–2,0–1,1–1,1–0,0–0,0–1,1–1,0–2,1–1,0–0,2–2
Nassaji,0–0,2–0,2–0,0–0,1–0,,1–0,1–1,2–0,1–1,1–1,1–2,0–0,2–2,1–1,0–1
Padideh,1–0,1–0,2–0,2–2,3–0,3–0,,1–0,2–1,0–1,1–0,1–0,1–1,2–0,0–0,0–1
Pars Jonoubi Jam,1–0,2–1,0–0,0–1,2–0,3–1,1–1,,3–0,0–1,0–0,2–2,2–2,2–2,0–1,0–2
Paykan,0–4,1–0,2–3,1–1,1–0,0–1,0–0,3–2,,0–2,3–0,1–1,0–1,1–0,1–2,0–1
Persepolis,1–0,2–0,3–0,1–1,0–0,2–1,2–0,3–1,2–1,,3–2,1–0,0–0,1–0,0–0,1–0
Saipa,1–2,1–1,1–0,0–0,2–1,0–0,0–1,1–0,3–1,1–1,,0–3,2–5,3–0,0–0,0–0
Sanat Naft,0–0,2–2,0–0,1–1,3–1,1–1,0–0,1–0,0–3,1–1,2–1,,0–0,1–1,2–1,1–2
Sepahan,0–1,2–0,3–1,2–0,1–0,3–2,1–0,1–0,0–0,1–1,3–0,0–0,,3–0,2–2,1–1
Sepidrood,0–5,1–2,1–2,1–1,0–1,1–3,0–2,1–0,2–2,1–3,2–2,0–0,1–6,,3–1,0–0
Tractor Sazi,1–0,6–0,1–2,2–1,3–0,1–1,1–0,1–1,0–1,1–1,1–0,1–0,2–0,2–1,,4–1
Zob Ahan,2–2,2–0,3–1,0–0,0–0,0–0,1–2,0–1,1–1,0–0,0–2,2–2,1–2,0–0,2–0,
