رتبه,نام,تیم,گل
۱,کیروش استنلی,سپاهان,۱۶
۲,لوسیانو پریرا,فولاد,۱۶
۳,علی علیپور,پرسپولیس,۱۴
۴,آنتونی استوکس,تراکتور,۱۱
۵,امین قاسمی‌نژاد,پدیده,۱۰
۶,یونس شاکری,پدیده,۱۰
۷,عیسی آل‌کثیر,پیکان,۸
۸,امیرارسلان مطهری,ذوب‌آهن,۶
۹,مهرداد محمدی,سپاهان,۶
۱۰,اشکان دژاگه,تراکتور,۵
۱۱,وحید خشتان,استقلال خوزستان,۵
۱۲,گیورگی گولسیانی,نساجی,۵
۱۳,حسن بیت‌سعید,فولاد,۵
۱۴,سیامک نعمتی,پرسپولیس,۵
۱۵,ساسان انصاری,سپاهان,۵
۱۶,دانیال اسماعیلی‌فر,تراکتور,۵
۱۷,رضا اسدی,سایپا,۵
۱۸,سجاد شهباززاده,سپاهان,۵
۱۹,محمدمهدی نظری,نساجی,۵
۲۰,محمد نوری,پارس جنوبی جم,۵
۲۱,مهرداد بایرامی,سپیدرود,۵
۲۲,میلاد جهانی,صنعت نفت,۵
۲۳,مرتضی تبریزی,استقلال,۵
۲۴,لی اروین,تراکتور,۴
۲۵,وریا غفوری,استقلال,۴
۲۶,علی دشتی,سایپا,۴
۲۷,رضا خالقی‌فر,ماشین‌سازی,۴
۲۸,مجید علیاری,پارس جنوبی جم,۴
۲۹,امیرارسلان مطهری,ذوب‌آهن,۴
۳۰,عزت‌الله پورقاز,سپاهان,۴
۳۱,محمد غلامی,سپیدرود,۴
۳۲,آیاندا پاتوسی,استقلال,۴
۳۳,طالب ریکانی,صنعت نفت,۴
۳۴,مسعود شجاعی,تراکتور,۴
۳۵,کمال کامیابی‌نیا,پرسپولیس,۴
۳۶,جاناتان بالوتلی,صنعت نفت,۴
