Home \ Away,EST,FOL,GOL,MST,MIS,NSJ,PJJ,PAY,PRS,SAP,SNA,SEP,SHB,SHK,TRC,ZOB
Esteghlal,,1–1,2–1,1–2,2–1,1–1,2–0,1–1,0–1,1–1,5–0,2–1,4–1,1–0,0–0,2–1
Foolad,2–1,,2–0,2–1,1–0,1–0,1–0,0–0,0–1,0–0,0–1,0–0,1–0,2–0,1–0,2–1
Gol Gohar,1–0,0–0,,1–0,0–0,1–1,1–1,0–0,3–3,1–1,0–1,0–2,4–2,0–1,1–1,0–0
Machine Sazi,1–0,2–3,1–2,,0–0,0–3,1–1,2–2,0–1,1–0,1–0,0–0,4–2,0–1,2–0,2–1
Naft MIS,1–1,0–0,2–3,1–0,,0–0,1–0,1–1,1–2,2–1,2–0,0–0,1–0,1–1,0–0,0–0
Nassaji,1–2,3–2,1–0,0–0,0–0,,0–0,4–3,1–1,1–3,0–0,2–2,2–0,0–0,0–4,0–0
Pars Jonoubi Jam,0–2,0–0,1–1,1–1,1–1,2–2,,3–1,0–1,3–2,0–0,1–1,0–2,2–1,1–0,0–0
Paykan,2–2,1–2,2–0,6–2,2–3,0–1,0–0,,1–3,1–0,1–0,1–1,1–3,0–2,2–3,2–1
Persepolis,2–2,1–0,2–1,0–0,0–1,1–0,1–0,2–1,,3–0,1–0,0–2,1–0,3–1,2–0,0–1
Saipa,0–4,0–0,0–0,1–0,0–0,4–3,1–1,0–0,0–2,,1–2,0–0,0–0,0–0,0–1,3–1
Sanat Naft,0–2,2–2,1–2,1–0,1–1,1–1,2–0,3–2,0–1,1–0,,4–2,3–1,1–1,2–1,1–1
Sepahan,2–2,2–1,2–0,1–0,0–0,0–1,1–1,2–0,0–3,0–0,1–0,,5–0,2–0,2–0,2–0
Shahin Bushehr,1–4,0–1,1–1,3–1,2–2,2–1,1–1,1–1,0–5,1–1,1–1,0–3,,0–0,0–0,1–5
Shahr Khodro,2–2,0–1,1–0,3–1,2–1,0–0,1–0,1–0,1–0,1–1,0–1,1–1,2–1,,0–0,2–1
Tractor,2–4,1–0,1–0,2–1,1–0,0–1,1–0,0–0,1–0,3–1,2–0,2–1,0–0,3–1,,2–1
Zob Ahan,2–2,1–0,2–3,1–2,1–1,2–0,1–0,1–4,0–3,2–3,1–0,1–1,2–0,0–1,0–0,
