رتبه,نام,تیم,گل,پنالتی
۱,شیخ دیاباته,استقلال,۱۵,۳
۲,شهریار مغانلو,پیکان,۱۳,۶
۳,علی علیپور,پرسپولیس,۱۲,۱
۴,عیسی آل‌کثیر,نفت آبادان,۱۲,۴
۵,مهدی ترابی,پرسپولیس,۱۱,۵
۶,مهدی قایدی,استقلال,۱۰,۰
۷,امیرارسلان مطهری,ذوب‌آهن (۵) استقلال (۵),۱۰,۰
۸,یونس شاکری,شهر خودرو (۳) گل‌گهر (۶),۹,۰
۹,محمد نوری,پارس جنوبی,۸,۴
۱۰,فراز امام‌علی,پیکان,۸,۰
۱۱,احمدرضا زنده‌روح,ماشین‌سازی (۵) گل‌گهر (۳),۸,۶
۱۲,کیروس استنلی,سپاهان,۷,۰
۱۳,حسین مالکی,شاهین,۷,۲
۱۴,لوسیانو پریرا مندز,فولاد خوزستان,۷,۱
۱۵,محمد محبی,سپاهان,۶,۰
۱۶,محمدرضا سلیمانی,سایپا,۶,۳
۱۷,وحید امیری,پرسپولیس,۶,۰
۱۸,علی کریمی,استقلال,۵,۰
۱۹,ساسان انصاری,تراکتور,۵,۰
۲۰,علیرضا ابراهیمی,گل‌گهر,۵,۰
۲۱,عماد میرجوان,نفت م.سلیمان,۵,۰
۲۲,احسان حاج‌صفی,تراکتور,۵,۰
۲۳,رضا اسدی,تراکتور,۵,۰
۲۴,ایوان مارکوویچ,ذوب‌آهن,۵,۱
۲۵,وریا غفوری,استقلال,۵,۲
۲۶,دارکو بیدوف,ذوب‌آهن,۵,۲
