Home \ Away,SEP,PAS,PRS,FJR,PAY,SAP,FOL,ZOB,EST,BGH,ESA,ABU,SNA,MLV
Sepahan,,2–3,2–1,1–2,4–2,3–0,2–3,4–0,3–2,1–0,1–0,1–1,4–1,2–0
PAS Tehran,1–2,,0–1,2–1,2–0,2–0,1–2,1–2,1–1,1–1,2–2,1–0,4–2,2–0
Persepolis,1–1,0–0,,2–0,1–0,2–1,3–3,0–1,1–1,0–0,2–1,1–0,1–0,2–3
Fajr Sepasi,2–0,0–2,0–0,,0–0,1–1,1–0,1–2,2–3,0–0,2–1,1–0,0–0,3–2
Paykan,0–2,0–0,1–1,1–0,,3–1,2–1,0–0,1–0,1–0,1–1,4–1,1–2,4–0
Saipa,0–0,0–2,1–1,0–0,1–2,,1–1,0–1,2–1,3–0,0–0,0–1,1–0,3–2
Foolad,1–3,1–0,0–2,2–2,0–0,2–0,,0–1,1–2,2–5,2–1,2–1,3–1,2–0
Zob Ahan,0–1,0–1,3–2,0–1,0–1,0–1,2–1,,0–3,4–0,0–1,1–1,2–3,1–0
Esteghlal,2–3,3–1,1–2,0–1,2–1,1–3,0–0,0–0,,1–2,0–0,0–0,1–0,3–0
Bargh Shiraz,1–2,0–3,1–2,0–1,1–0,2–2,1–0,4–0,1–2,,0–3,2–1,2–1,0–0
Est. Ahvaz,1–0,0–2,0–0,1–1,0–1,2–5,0–2,2–1,2–1,1–2,,1–1,3–2,0–0
Aboumoslem,1–1,1–2,0–1,0–1,3–1,0–0,2–0,0–0,2–2,3–0,1–0,,0–0,0–0
Sanat Naft,0–1,1–1,0–0,1–1,0–0,1–2,2–2,1–0,1–0,1–2,1–1,3–1,,1–0
Malavan,2–1,1–0,1–1,0–4,1–0,0–1,1–1,0–1,0–0,2–1,0–0,1–1,1–0,
