Home \ Away,ALU,EST,FOL,GOL,MST,MES,MIS,NSJ,PAY,PRS,SAP,SNA,SEP,SHK,TRC,ZOB
Aluminium Arak,—,0–0,0–0,0–0,4–1,0–0,0–1,0–3,1–1,2–1,1–1,1–0,1–6,1–0,1–3,2–2
Esteghlal,2–0,—,1–0,2–0,1–0,2–0,1–0,1–0,0–0,2–2,0–1,1–1,1–2,2–0,2–1,0–2
Foolad,0–0,2–1,—,1–0,1–0,1–1,2–0,1–0,0–0,0–0,3–0,2–0,0–0,2–0,1–1,1–0
Gol Gohar,2–1,1–2,1–1,—,3–1,0–0,0–0,2–2,1–2,0–5,1–0,1–0,3–1,3–1,1–2,1–0
Machine Sazi,1–1,0–2,0–1,0–1,—,3–0,0–1,0–2,0–5,0–5,2–2,1–0,3–3,1–1,0–1,1–1
Mes Rafsanjan,0–1,1–1,2–1,0–2,1–0,—,2–0,0–1,1–1,0–1,1–0,0–0,1–2,2–1,0–1,3–1
Naft MIS,1–2,1–1,1–0,1–2,1–0,1–0,—,0–2,0–1,0–0,1–1,1–2,3–1,3–1,1–1,2–3
Nassaji,1–1,1–3,1–0,1–2,1–1,0–1,1–0,—,0–1,1–1,1–0,0–1,0–1,1–0,1–1,2–3
Paykan,0–0,0–0,1–1,0–2,2–2,2–3,1–1,2–1,—,0–2,1–1,2–0,1–1,1–0,1–1,1–0
Persepolis,2–0,1–0,2–1,3–1,2–1,1–0,2–1,2–0,1–0,—,1–0,1–0,0–0,3–0,3–1,1–1
Saipa,1–0,0–2,2–1,0–1,0–0,0–0,0–0,1–0,1–2,0–0,—,1–1,0–1,1–2,1–2,2–1
Sanat Naft,0–1,0–1,1–1,2–1,2–1,1–1,2–0,1–1,2–1,0–0,1–0,—,1–2,0–0,2–1,1–0
Sepahan,1–0,2–0,1–1,1–0,1–0,5–1,0–0,4–0,2–1,1–1,1–1,4–1,—,1–3,2–0,2–0
Shahr Khodro,2–2,0–2,0–0,1–0,3–0,0–1,1–0,1–0,2–0,1–1,1–0,1–1,0–1,—,2–1,1–1
Tractor,0–1,1–3,0–0,1–0,2–0,0–0,0–0,2–1,3–1,0–1,5–1,1–1,0–1,0–0,—,1–0
Zob Ahan,1–1,0–0,2–2,1–1,2–0,0–1,0–0,1–2,1–1,1–2,1–1,1–0,1–3,0–2,1–2,—
