Home \ Away,ALU,EST,FJR,FOL,GOL,HAV,MES,MIS,NSJ,PAY,PRS,SNA,SEP,SHK,TRC,ZOB
Aluminium Arak,—,1–1,1–0,3–0,0–0,0–1,0–1,2–1,0–0,1–1,1–0,2–1,0–0,2–2,1–0,0–0
Esteghlal,0–0,—,1–0,1–0,2–1,1–0,3–2,0–0,0–0,0–0,0–0,1–0,1–0,1–0,1–0,1–0
Fajr Sepasi,0–0,1–1,—,1–1,0–1,0–0,0–0,0–0,1–1,1–1,0–1,0–0,0–2,0–1,1–1,0–1
Foolad,1–0,1–2,1–0,—,1–1,1–0,2–1,2–0,1–1,1–1,1–3,0–0,3–0,2–0,0–0,1–2
Gol Gohar,2–0,0–3,2–0,0–1,—,1–0,2–2,2–0,1–1,0–0,1–1,2–1,0–3,3–3,4–1,3–2
Havadar,0–0,1–2,1–0,0–0,0–2,—,1–1,0–0,0–0,0–2,0–0,1–2,0–0,2–0,1–0,1–0
Mes Rafsanjan,0–0,0–2,2–1,1–1,1–2,1–0,—,0–0,1–2,0–0,1–1,3–0,3–1,3–0,3–2,0–1
Naft MIS,0–0,0–3,2–0,0–0,0–2,0–0,0–1,—,1–1,1–2,1–2,2–2,0–3,0–1,1–1,1–1
Nassaji,1–1,0–0,1–0,0–2,1–2,2–1,0–2,1–1,—,2–2,1–3,0–2,1–3,2–0,0–3,1–0
Paykan,1–1,0–3,0–1,1–2,3–0,1–2,1–1,0–0,0–1,—,1–3,0–0,0–1,1–1,0–0,1–0
Persepolis,2–0,1–1,1–0,1–0,1–1,2–2,3–1,1–0,2–1,2–0,—,1–0,1–2,2–1,2–1,2–0
Sanat Naft,3–1,1–1,0–2,0–1,0–0,3–0,0–2,2–0,1–1,0–0,2–0,—,2–4,1–0,1–0,0–1
Sepahan,1–1,1–1,2–0,2–1,0–0,1–0,2–0,4–1,2–0,1–2,0–1,1–0,—,3–0,0–0,0–0
Shahr Khodro,0–0,0–3,0–0,0–0,1–2,0–1,1–3,0–1,1–1,1–1,1–1,1–1,0–2,—,0–0,1–2
Tractor,0–2,0–1,2–1,1–2,0–0,3–2,1–0,2–0,1–1,1–2,0–3,3–0,2–2,1–0,—,0–1
Zob Ahan,4–0,0–2,2–0,0–1,0–0,0–1,0–3,0–1,0–0,0–2,1–1,0–1,1–0,2–1,0–0,—
