رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,استقلال[a],۳۰,۱۹,۱۱,۰,۳۹,۱۰,۲۹+,۶۸,
۲,پرسپولیس[b],۳۰,۱۸,۹,۳,۴۴,۲۱,۲۳+,۶۳,
۳,سپاهان,۳۰,۱۶,۸,۶,۴۳,۲۱,۲۲+,۵۶,صعود به مرحله‌گروهی لیگ قهرمانان آسیا
۴,گل‌گهر[c],۳۰,۱۳,۱۲,۵,۳۷,۲۸,۹+,۵۱,
۵,فولاد[d],۳۰,۱۳,۱۰,۷,۳۰,۲۲,۸+,۴۹,صعود به مرحله‌گروهی لیگ قهرمانان آسیا
۶,مس رفسنجان,۳۰,۱۲,۹,۹,۳۹,۲۹,۱۰+,۴۵,
۷,ذوب‌آهن,۳۰,۱۰,۷,۱۳,۲۱,۲۵,۴−,۳۷,
۸,آلومینیوم اراک,۳۰,۷,۱۶,۷,۲۰,۲۳,۳−,۳۷,
۹,پیکان,۳۰,۷,۱۵,۸,۲۶,۲۷,۱−,۳۶,
۱۰,صنعت نفت,۳۰,۹,۹,۱۲,۲۶,۳۰,۴−,۳۶,
۱۱,هوادار,۳۰,۸,۱۰,۱۲,۱۸,۲۵,۷−,۳۴,
۱۲,نساجی,۳۰,۶,۱۵,۹,۲۴,۳۴,۱۰−,۳۳,
۱۳,تراکتور,۳۰,۷,۱۰,۱۳,۲۶,۳۲,۶−,۳۱,
۱۴,نفت م.س,۳۰,۳,۱۳,۱۴,۱۴,۳۵,۲۱−,۲۲,
۱۵,شهر خودرو,۳۰,۲,۱۱,۱۷,۱۷,۴۳,۲۶−,۱۷,سقوط به لیگ آزادگان
۱۶,فجر سپاسی,۳۰,۲,۱۱,۱۷,۱۰,۲۹,۱۹−,۱۷,سقوط به لیگ آزادگان
