Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Persepolis (C),30,20,6,4,46,13,+33,66,Qualification for 2023–24 AFC Champions League group stage
2,Sepahan,30,19,8,3,49,17,+32,65,Qualification for 2023–24 AFC Champions League group stage
3,Esteghlal[a],30,18,8,4,52,22,+30,62,
4,Tractor,30,15,7,8,42,34,+8,52,Qualification for 2023–24 AFC Champions League qualifying play-offs
5,Mes Rafsanjan,30,11,14,5,30,15,+15,47,
6,Gol Gohar,30,12,9,9,40,36,+4,45,
7,Aluminium Arak,30,8,16,6,20,15,+5,40[b],
8,Foolad,30,9,13,8,27,26,+1,40[b],
9,Zob Ahan,30,7,15,8,25,24,+1,36,
10,Havadar,30,7,12,11,24,34,−10,33,
11,Paykan,30,5,13,12,12,28,−16,28,
12,Malavan,30,5,12,13,21,40,−19,27,
13,Nassaji Mazandaran,30,5,11,14,26,44,−18,26,Qualification for 2023–24 AFC Champions League group stage[c]
14,Sanat Naft,30,5,10,15,22,36,−14,25,
15,Mes Kerman (R),30,4,10,16,22,37,−15,22,Relegation to Azadegan League
16,Naft Masjed Soleyman (R),30,4,8,18,22,59,−37,20,Relegation to Azadegan League
