Home \ Away,ALU,EST,FOL,GOL,HAV,MLV,SMK,MES,MIS,NSJ,PAY,PRS,SNA,SEP,TRC,ZOB
Aluminium Arak,—,0–1,0–1,0–0,0–1,1–0,2–0,2–1,0–0,3–0,0–0,0–1,3–1,1–1,0–2,0–0
Esteghlal,0–0,—,1–1,2–1,6–1,4–0,1–0,0–0,3–1,3–1,0–0,2–2,1–1,0–2,7–1,2–0
Foolad,2–2,0–2,—,1–2,0–0,1–0,0–0,0–0,1–0,2–0,1–1,1–0,0–0,0–1,3–2,1–1
Gol Gohar,0–1,1–2,2–2,—,2–1,1–0,1–1,2–2,4–0,0–1,2–1,0–2,0–1,2–2,2–1,1–0
Havadar,1–1,0–1,0–0,1–1,—,1–0,1–1,0–1,1–1,1–1,0–1,1–3,0–1,1–2,0–1,1–0
Malavan,1–1,1–3,3–1,1–2,1–2,—,0–0,0–4,1–0,1–0,1–0,0–1,2–1,0–0,1–1,1–1
Mes Kerman,1–1,2–3,1–1,2–2,0–1,0–0,—,0–2,2–0,2–1,3–0,1–3,2–0,1–2,1–3,0–0
Mes Rafsanjan,0–0,1–2,2–0,0–0,2–1,0–0,1–0,—,1–0,1–1,2–0,0–1,4–0,0–0,1–0,0–0
Naft MIS,0–1,0–0,1–4,0–5,0–0,5–1,3–2,0–0,—,2–2,1–2,1–2,0–0,0–2,1–5,1–0
Nassaji,0–0,1–1,2–1,1–2,1–1,2–2,2–0,1–1,4–0,—,1–1,0–4,0–2,0–1,2–0,0–0
Paykan,0–0,0–2,0–2,0–1,1–1,1–0,1–0,1–1,0–0,0–0,—,0–1,0–0,1–0,0–1,0–0
Persepolis,0–0,1–0,0–0,4–0,0–1,3–0,1–0,1–0,3–0,5–1,0–0,—,2–0,0–1,0–1,1–0
Sanat Naft,0–1,0–1,0–0,0–1,0–1,1–1,2–1,1–1,1–2,4–0,1–1,1–2,—,0–2,1–3,1–1
Sepahan,0–0,2–1,0–1,4–1,3–1,1–1,2–0,2–0,4–0,2–1,5–0,0–0,1–0,—,4–2,2–1
Tractor,0–0,2–0,1–0,2–2,0–0,1–1,0–0,0–1,3–2,1–0,1–0,2–3,1–0,1–0,—,1–1
Zob Ahan,1–0,0–1,2–0,1–0,3–3,1–1,1–0,0–0,5–1,1–0,1–0,0–0,2–2,1–1,1–3,—
