Rank,Player,Club,Goals
1,Shahriyar Moghanlou,Sepahan,13
2,Mehdi Ghayedi,Esteghlal,12
3,Reza Asadi,Tractor,11
4,Mohammad Abbaszadeh,Tractor,10
5,Mohammad Mohebi,Esteghlal,8
5,Aref Rostami,Mes Kerman,8
7,Mohammad Reza Azadi,Aluminium Arak,7
7,Sajjad Bazgir,Malavan,7
7,Omid Noorafkan,Sepahan,7
7,Ramin Rezaeian,Sepahan,7
7,Reza Shekari,Gol Gohar,7
7,Hamed Shiri,Nassaji,7
7,Mehdi Torabi,Persepolis,7
7,Arthur Yamga,Esteghlal,7
15,Jürgen Locadia,Persepolis,6
15,Saeid Sadeghi,Persepolis,6
15,Giorgi Gvelesiani,Persepolis,6
