گلزن,تیم,گل,پنالتی
شهریار مغانلو,سپاهان,۱۳,۲
مهدی قایدی,استقلال,۱۲,۱
رضا اسدی,تراکتور,۱۱,۳
محمد عباس‌زاده,تراکتور,۱۰,۱
محمد محبی,استقلال,۸,۱
عارف رستمی,مس کرمان,۸,۲
رضا شکاری,گل‌گهر,۷,
امید نورافکن,سپاهان,۷,
مهدی ترابی,پرسپولیس,۷,۱
محمدرضا آزادی,آلومینیوم,۷,۱
رامین رضاییان,سپاهان,۷,۲
سجاد بازگیر,ملوان,۷,۴
حامد شیری,نساجی,۷,۵
کوین یامگا,استقلال,۷,۵
سعید صادقی,پرسپولیس,۶,
یورگن لوکادیا,پرسپولیس,۶,۲
گیورگی گولسیانی,پرسپولیس,۶,۴
مهدی ممی‌زاده,صنعت نفت,۵,
مرتضی تبریزی,گل‌گهر,۵,
سهیل فداکار,ملوان,۵,
محمدمهدی قنبری,تراکتور,۵,۱
ایوب کلانتری,نساجی,۵,۲
طالب ریکانی,صنعت نفت,۵,۳
پیمان رنجبری,نفت مسجدسلیمان,۵,۳
