Home \ Away,ALU,EST,ESK,FOL,GOL,HAV,MLV,MES,NSJ,PAY,PRS,SNA,SEP,SAQ,TRC,ZOB
Aluminium Arak,—,0–1,1–0,1–1,0–0,1–1,1–1,1–3,1–0,1–1,1–0,1–1,0–1,2–0,0–4,1–1
Esteghlal,1–0,—,1–0,1–0,1–0,3–2,1–0,2–2,4–0,2–1,0–0,1–0,1–0,3–2,2–0,2–1
Esteghlal Khuzestan,3–2,0–1,—,0–0,1–1,3–1,1–1,2–1,1–4,0–1,2–2,2–1,1–3,1–1,0–1,1–2
Foolad,1–0,0–0,1–0,—,0–1,3–3,1–1,0–1,1–0,2–2,0–2,1–2,1–3,0–1,0–2,1–0
Gol Gohar,2–3,1–1,2–2,3–0,—,3–3,1–1,2–0,3–0,2–2,0–1,1–0,3–1,0–0,0–1,1–2
Havadar,1–2,0–1,2–0,0–1,1–0,—,0–1,0–0,0–5,0–0,0–2,2–1,0–5,2–1,0–1,2–2
Malavan,1–1,1–1,1–1,4–0,1–0,1–1,—,0–1,1–0,2–0,0–0,1–0,1–2,0–2,0–0,1–2
Mes Rafsanjan,2–0,0–1,2–3,3–0,1–1,0–0,1–4,—,1–1,2–2,1–1,0–2,1–1,0–3,1–1,2–2
Nassaji,0–1,0–0,1–0,0–1,0–1,2–2,0–1,0–3,—,1–1,1–2,3–1,1–1,1–0,1–0,1–2
Paykan,0–1,0–2,1–0,0–0,0–0,2–2,1–0,0–1,1–1,—,1–3,2–2,1–3,1–1,0–0,0–0
Persepolis,1–0,1–1,4–3,4–2,1–0,1–0,1–0,1–0,1–0,2–0,—,2–2,0–0,2–1,2–0,1–1
Sanat Naft,1–2,0–3,1–1,0–2,0–1,0–2,1–1,1–0,1–1,1–1,0–3,—,2–1,2–2,0–3,0–1
Sepahan,0–1,1–0,1–1,3–1,2–0,2–0,2–3,4–1,0–0,2–3,1–0,4–1,—,4–1,3–1,1–0
Shams Azar,2–1,2–2,0–0,1–0,1–1,1–2,1–0,0–0,2–1,2–1,1–3,0–0,1–0,—,0–2,1–2
Tractor,1–1,0–0,2–0,2–0,2–0,4–2,3–1,1–0,3–0,2–0,0–1,3–0,0–0,2–3,—,1–4
Zob Ahan,2–0,1–1,0–2,0–0,0–0,0–0,0–1,1–2,0–2,1–0,0–1,2–1,0–2,0–2,1–0,—
