گلزن,تیم,گل,پنالتی[۹۵][۹۶]
شهریار مغانلو,سپاهان,۱۶,۴
رضا اسدی,سپاهان,۱۰,۰
رحمان جعفری,شمس‌آذر[پ] و تراکتور,۱۰,۰
عیسی آل کثیر[ت],سپاهان و پرسپولیس,۹,۰
جواد آقایی‌پور,استقلال خوزستان,۹,۰
رضا جعفری,ملوان,۹,۱
امیرمسعود سرآبادانی,شمس‌آذر,۸,۱
سعید سحرخیزان,گل‌گهر,۸,۱
محمدرضا آزادی,نساجی,۸,۰
رضا جعفری,ملوان,۸,۱
محمدرضا سلیمانی,ملوان,۸,۲
محمدجواد محمدی,ذوب‌آهن,۸,۰
مهرداد محمدی,استقلال,۸,۱
رامین رضائیان,سپاهان,۸,۰
احمدرضا زنده‌روح,گل‌گهر,۷,۰
حامد پاکدل,پیکان,۷,۰
شهاب زاهدی,پرسپولیس,۶,۱
حسین کنعانی,پرسپولیس,۶,۵
گوستاوو بلانکو,استقلال,۶,۰
مهدی عبدی,تراکتور,۶,۰
طالب ریکانی,صنعت نفت,۶,۲
داریوش شجاعیان,هوادار,۶,۰
جلال‌الدین علی‌محمدی,مس رفسنجان,۶,۰
داریوش شجاعیان,هوادار,۶,۰
مهدی لیموچی,آلومینیوم,۶,۰
