Home \ Away,FOL,ZOB,EST,PRS,ESA,PAS,MLV,ABU,SAB,SEP,FJR,BGH,SAP,SHM,PAY,PEG
Foolad,,0–1,1–0,3–1,2–0,2–1,1–1,1–0,1–0,0–0,1–0,4–0,2–1,3–1,1–0,2–1
Zob Ahan,2–0,,3–1,3–2,3–1,2–0,2–0,0–1,2–3,1–1,0–0,1–0,1–0,2–0,1–0,1–0
Esteghlal,1–2,0–3,,3–2,1–1,2–1,3–1,2–2,3–1,2–2,2–1,3–2,4–3,3–0,2–1,2–0
Persepolis,0–2,1–0,0–0,,2–0,2–1,1–2,3–2,1–0,1–2,5–1,1–1,1–0,2–1,2–1,6–0
Est. Ahvaz,3–1,1–2,2–2,1–1,,2–1,0–1,3–2,1–0,1–1,3–0,1–1,1–0,6–0,2–1,1–0
PAS Tehran,1–1,2–2,1–2,1–1,1–1,,3–2,1–1,2–3,2–3,1–0,5–1,3–0,4–2,0–0,3–1
Malavan,1–2,0–0,0–0,1–2,1–0,0–0,,1–1,2–0,0–1,3–0,1–1,5–0,1–1,1–0,3–0
Aboumoslem,0–0,3–2,2–3,1–0,2–2,0–1,0–0,,2–3,2–1,0–1,3–2,0–1,1–0,1–0,3–0
Saba Battery,0–0,1–2,1–1,0–0,0–0,4–3,2–0,0–0,,2–1,0–1,4–4,1–2,3–0,2–2,0–0
Sepahan,1–1,0–1,2–2,0–0,0–1,0–1,1–1,1–1,1–0,,0–0,2–0,1–4,1–1,1–2,1–1
Fajr Sepasi,0–1,0–0,0–0,0–0,1–2,0–1,0–1,4–1,3–2,0–0,,1–1,1–1,2–1,2–1,0–1
Bargh Shiraz,1–1,0–0,0–3,1–2,2–0,2–1,1–0,0–0,1–0,1–0,1–2,,0–0,3–1,1–1,4–1
Saipa,1–2,1–0,0–0,0–1,3–0,1–3,0–0,0–0,1–2,1–2,1–0,1–1,,1–1,0–0,0–0
Shamoushak,2–1,1–0,0–1,0–1,0–3,1–1,1–2,0–2,2–2,2–1,1–0,2–1,1–0,,1–0,0–0
Paykan,0–1,0–1,0–1,0–1,2–1,0–2,2–1,1–0,1–1,1–2,1–2,0–0,0–0,2–2,,0–0
Pegah,0–2,0–0,1–2,0–1,1–0,2–2,2–2,0–0,1–1,1–1,0–2,2–1,0–1,0–1,2–3,
