0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
میزبان ╲ میهمان,مسلم,برق,است,اهواز,ملو,شمک,پاس,پیک,پرس,پگا,صبا,سای,سپا,فول,فجر,ذوب
ابومسلم,,۳–۲,۲–۳,۲–۲,۰–۰,۱–۰,۰–۱,۱–۰,۱–۰,۳–۰,۲–۳,۰–۱,۲–۱,۰–۰,۰–۱,۳–۲
برق شیراز,۰–۰,,۰–۳,۲–۰,۱–۰,۳–۱,۲–۱,۱–۱,۱–۲,۴–۱,۱–۰,۰–۰,۱–۰,۱–۱,۱–۲,۰–۰
استقلال,۲–۲,۳–۲,,۱–۱,۳–۱,۳–۰,۲–۱,۲–۱,۳–۲,۲–۰,۳–۱,۴–۳,۲–۲,۱–۲,۲–۱,۰–۳
استقلال اهواز,۳–۲,۱–۱,۲–۲,,۰–۱,۶–۰,۲–۱,۲–۱,۱–۱,۱–۰,۱–۰,۱–۰,۱–۱,۳–۱,۳–۰,۱–۲
ملوان,۱–۱,۱–۱,۰–۰,۱–۰,,۱–۱,۰–۰,۱–۰,۱–۲,۳–۰,۲–۰,۵–۰,۰–۱,۱–۲,۳–۰,۰–۰
شموشک نوشهر,۰–۲,۲–۱,۰–۱,۰–۳,۱–۲,,۱–۱,۱–۰,۰–۱,۰–۰,۲–۲,۱–۰,۲–۱,۲–۱,۱–۰,۱–۰
پاس,۱–۱,۵–۱,۱–۲,۱–۱,۳–۲,۴–۲,,۰–۰,۱–۱,۳–۱,۲–۳,۳–۰,۲–۳,۱–۱,۱–۰,۲–۲
پیکان,۱–۰,۰–۰,۰–۱,۲–۱,۲–۱,۲–۲,۰–۲,,۰–۱,۰–۰,۱–۱,۰–۰,۱–۲,۰–۱,۱–۲,۰–۱
پرسپولیس,۳–۲,۱–۱,۰–۰,۲–۰,۱–۲,۲–۱,۲–۱,۲–۱,,۶–۰,۱–۰,۱–۰,۱–۲,۰–۲,۵–۱,۱–۰
پگاه گیلان,۰–۰,۲–۱,۱–۲,۱–۰,۲–۲,۰–۱,۲–۲,۲–۳,۰–۱,,۱–۱,۰–۱,۱–۱,۰–۲,۰–۲,۰–۰
صبا باتری,۰–۰,۴–۴,۱–۱,۰–۰,۲–۰,۳–۰,۴–۳,۲–۲,۰–۰,۰–۰,,۱–۲,۲–۱,۰–۰,۰–۱,۱–۲
سایپا,۰–۰,۱–۱,۰–۰,۳–۱,۰–۰,۱–۱,۱–۳,۰–۰,۰–۱,۰–۰,۱–۲,,۱–۲,۱–۲,۱–۰,۱–۰
سپاهان,۱–۱,۲–۰,۲–۲,۰–۱,۱–۱,۱–۱,۰–۱,۱–۲,۰–۰,۱–۱,۱–۰,۱–۴,,۱–۱,۰–۰,۰–۱
فولاد,۱–۰,۴–۰,۱–۰,۲–۰,۱–۱,۳–۱,۲–۱,۱–۰,۳–۱,۲–۱,۱–۰,۲–۱,۰–۰,,۱–۰,۰–۱
فجر سپاسی,۴–۱,۱–۱,۰–۰,۱–۲,۰–۱,۲–۱,۰–۱,۲–۱,۰–۰,۰–۱,۳–۲,۱–۱,۰–۰,۰–۱,,۰–۰
ذوب‌آهن,۰–۱,۱–۰,۳–۱,۳–۱,۲–۰,۲–۰,۲–۰,۱–۰,۳–۲,۱–۰,۲–۳,۱–۰,۱–۱,۲–۰,۰–۰,
