Home \ Away,EST,PAS,SAP,SAB,ABU,ZOB,SEP,FOL,PRS,FJR,MLV,ESA,RAH,BGH,SHM,GHA
Esteghlal,,0–0,0–0,4–1,0–0,3–0,2–1,4–1,1–0,0–0,3–3,1–0,3–0,4–1,1–1,1–0
PAS Tehran,1–0,,1–1,0–0,2–0,3–1,4–4,7–1,2–1,4–2,3–0,1–3,2–2,0–0,1–0,1–1
Saipa,0–0,1–3,,1–2,1–1,0–0,2–2,1–1,2–2,1–1,1–0,2–1,6–1,6–0,2–1,1–0
Saba Battery,1–1,2–4,1–1,,1–0,1–1,3–1,1–1,2–1,0–1,3–2,0–4,1–0,1–0,2–0,1–0
Aboumoslem,1–0,0–1,1–0,0–0,,1–3,0–1,5–1,1–1,0–0,1–2,1–0,2–0,1–0,1–0,2–1
Zob Ahan,1–1,3–0,0–1,0–1,1–2,,2–0,3–1,3–0,1–1,1–0,1–0,2–0,2–1,1–1,4–3
Sepahan,1–0,1–1,0–1,0–2,1–1,2–0,,2–0,2–0,3–0,0–0,2–2,1–3,1–0,4–0,1–0
Foolad,0–0,0–0,0–1,0–1,1–1,0–0,1–0,,1–0,3–0,1–0,3–2,0–1,2–1,0–0,2–0
Persepolis,0–0,1–0,0–0,2–2,2–2,1–1,2–3,2–3,,2–4,4–1,1–0,1–1,2–1,2–1,1–0
Fajr Sepasi,0–3,0–2,0–2,1–1,0–1,0–0,1–0,2–0,2–2,,1–0,0–0,3–0,0–0,4–1,1–2
Malavan,2–3,1–1,1–4,0–0,1–0,3–1,1–0,1–0,1–3,2–0,,3–2,0–1,1–0,1–0,2–0
Est. Ahvaz,0–2,1–2,0–1,1–0,1–0,1–1,1–3,4–2,2–2,2–1,1–1,,3–2,1–1,2–3,3–2
Rah Ahan,1–2,1–3,1–0,1–0,0–2,0–2,2–1,1–2,0–0,0–0,1–0,3–1,,1–1,2–1,0–1
Bargh Shiraz,1–3,1–3,0–0,2–2,1–1,2–1,1–0,0–1,0–1,0–0,2–0,0–1,1–0,,3–0,1–0
Shamoushak,0–1,1–0,1–2,1–2,0–0,0–0,0–0,1–2,2–1,0–0,0–0,1–1,1–1,1–1,,1–0
Shahid Ghandi,0–1,0–2,0–0,1–1,1–3,1–5,0–1,0–0,0–2,1–2,1–0,2–2,1–1,1–2,2–0,
