Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,Saipa (C),30,15,11,4,45,31,+14,56,Qualification for the AFC Champions League 2008
2,Est. Ahvaz,30,16,6,8,33,28,+5,54,
3,Persepolis,30,14,11,5,49,33,+16,53,
4,Esteghlal,30,14,10,6,39,30,+9,52,
5,Sepahan,30,14,7,9,41,28,+13,49,Qualification for the AFC Champions League 2008
6,Aboomoslem,30,11,10,9,40,36,+4,43,
7,Paykan,30,11,8,11,37,42,−5,41,
8,Zob Ahan,30,10,9,11,39,42,−3,39,
9,Mes Kerman,30,8,12,10,35,39,−4,36,
10,Fajr Sepasi,30,7,13,10,29,32,−3,34,
11,PAS Tehran,30,7,13,10,36,36,0,33[a],Disbanded
12,Bargh,30,8,9,13,35,45,−10,33,
13,Saba Battery,30,7,11,12,28,31,−3,32,
14,Malavan,30,7,11,12,21,30,−9,32,
15,Foolad (R),30,5,13,12,24,33,−9,28,Relegation play-offs
16,Rah Ahan (R),30,2,14,14,30,45,−15,20,Relegation play-offs
