Home \ Away,SAP,ESA,PRS,EST,SEP,ABU,PAY,ZOB,MES,FJR,PAS,BGH,SAB,MLV,FOL,RAH
Saipa,,0–1,2–2,3–1,4–2,2–1,2–1,2–1,2–0,1–0,1–1,1–1,1–1,1–1,2–2,3–1
Est. Ahvaz,2–0,,1–0,0–1,2–1,2–1,1–0,1–1,1–1,1–0,3–1,0–0,2–0,0–0,0–0,1–0
Persepolis,2–2,4–0,,2–1,2–1,3–4,3–4,3–1,4–1,2–2,1–1,1–0,1–0,1–0,2–1,1–2
Esteghlal,1–2,1–1,1–1,,2–1,1–0,0–1,2–1,0–0,3–2,2–1,3–0,1–1,2–1,3–2,1–1
Sepahan,1–0,4–0,0–0,1–0,,1–0,2–1,2–0,1–1,1–2,1–0,3–1,3–2,2–0,2–1,1–0
Aboumoslem,1–1,3–4,3–2,1–1,2–0,,2–1,4–1,1–1,1–0,3–2,1–0,2–0,3–2,1–0,1–3
Paykan,2–0,3–2,0–2,2–1,0–4,2–2,,2–1,4–2,2–2,2–1,1–3,0–0,1–1,0–1,0–0
Zob Ahan,0–2,0–1,2–3,0–0,2–1,1–0,2–2,,2–1,1–1,3–2,1–1,1–0,2–0,3–0,4–3
Mes Kerman,2–2,3–1,0–0,0–1,2–1,0–0,1–1,1–1,,2–0,0–1,2–1,2–3,1–0,1–1,1–1
Fajr Sepasi,0–1,0–1,1–1,1–1,1–1,2–0,1–0,1–0,0–0,,0–2,1–3,1–1,2–0,0–0,2–2
PAS Tehran,1–2,1–0,1–1,1–1,0–0,1–1,3–0,1–1,0–1,1–1,,2–2,2–1,1–2,1–0,2–2
Bargh Shiraz,1–2,1–0,1–2,1–2,2–1,1–1,2–1,2–2,1–4,1–1,1–0,,0–0,0–1,2–4,3–1
Saba Battery,1–2,1–0,0–1,2–3,0–0,1–1,0–1,1–2,4–1,0–1,0–0,3–0,,1–0,0–0,1–1
Malavan,0–0,0–1,0–0,0–1,0–2,0–0,0–0,1–0,2–1,1–0,2–2,2–1,2–3,,1–1,2–1
Foolad,1–2,0–1,0–0,0–0,0–0,1–0,0–1,1–1,2–1,0–3,1–1,1–2,0–1,0–0,,3–1
Rah Ahan,0–0,1–3,1–2,1–2,1–1,0–0,1–2,1–2,1–2,1–1,1–2,1–1,0–0,0–0,1–1,
