Home \ Away,PRS,SEP,SAB,ABU,PAS,ZOB,PAY,BGH,ESA,MES,SAP,RAH,EST,FJR,PEG,MLV,SNA,SFZ
Persepolis,,2–1,2–2,3–3,1–1,2–1,2–1,1–1,3–2,1–0,1–0,1–2,1–1,3–3,2–0,2–0,1–0,5–0
Sepahan,2–1,,2–2,2–1,0–0,2–2,1–1,4–0,2–1,1–1,0–1,2–2,2–1,0–0,3–1,3–2,1–0,1–0
Saba Battery,1–4,0–1,,0–1,1–0,1–0,1–1,2–2,2–2,0–1,2–1,2–0,0–0,0–0,1–0,3–0,3–1,2–2
Aboumoslem,0–3,2–1,0–1,,0–0,3–2,0–0,2–1,1–1,2–1,1–0,1–0,2–0,3–1,3–1,2–1,2–1,1–0
PAS Hamedan,1–2,3–1,0–1,3–0,,1–1,3–2,3–0,1–1,1–0,1–3,3–2,1–1,0–0,3–1,1–1,1–0,0–0
Zob Ahan,2–0,1–0,2–1,2–1,0–0,,1–0,2–1,4–2,0–0,0–0,2–0,0–1,0–0,2–2,0–0,2–1,0–1
Paykan,1–2,1–2,0–1,0–0,2–1,2–0,,4–2,2–0,1–1,0–1,2–2,3–2,0–3,1–1,0–1,0–0,2–0
Bargh Shiraz,0–1,3–3,1–1,1–0,1–1,0–0,1–1,,1–1,2–1,2–0,1–0,1–1,0–0,1–0,0–2,3–2,1–0
Est. Ahvaz,4–1,3–2,4–1,1–0,2–2,1–1,1–2,2–1,,2–2,1–2,2–3,1–2,4–1,3–2,0–0,0–0,3–1
Mes Kerman,0–0,1–1,0–1,1–1,2–0,1–1,2–3,1–3,2–1,,2–1,2–1,1–0,0–0,2–0,1–0,0–1,1–2
Saipa,0–1,1–0,1–1,1–0,1–0,1–1,2–0,0–1,1–1,0–0,,2–2,0–0,1–2,1–2,2–1,0–2,4–2
Rah Ahan,0–0,0–1,0–1,2–0,0–0,2–1,5–0,2–2,2–2,3–1,2–0,,0–3,1–1,0–1,2–1,1–1,3–0
Esteghlal,1–1,0–1,1–1,1–1,0–1,1–2,1–2,4–2,3–2,1–1,1–2,2–1,,1–1,1–4,2–0,2–3,2–1
Fajr Sepasi,0–2,0–2,3–1,2–1,1–1,1–4,1–1,0–1,2–2,1–3,1–1,0–1,1–2,,2–0,2–1,2–0,2–2
Pegah,1–0,0–2,1–0,0–0,0–0,1–0,0–1,2–2,1–1,0–0,1–0,0–0,0–1,0–1,,0–0,0–1,0–0
Malavan,1–1,1–2,1–1,2–1,0–0,1–1,0–1,1–1,0–2,2–1,1–2,2–1,2–1,2–1,1–1,,0–0,2–2
Sanat Naft,2–3,2–2,2–3,2–0,1–2,1–1,2–1,1–3,2–3,1–2,2–0,0–2,2–1,1–2,0–1,1–2,,2–1
Shirin Faraz,0–0,2–3,1–1,0–2,0–1,1–1,0–3,2–2,0–3,0–3,1–1,1–1,1–3,0–1,0–2,2–1,0–0,
