Home \ Away,SEP,ZOB,EST,PRS,STL,SAB,TRK,SAP,MES,FOL,PAY,MLV,SHB,RAH,PAS,MVT,ABU,ESA
Sepahan,,0–1,2–0,2–1,0–1,3–1,3–1,5–1,3–0,1–1,2–1,2–0,2–0,2–0,3–1,5–1,2–0,4–1
Zob Ahan,0–0,,1–0,1–1,3–1,2–1,1–0,3–0,0–0,1–0,2–2,3–0,1–0,1–2,0–1,2–0,3–1,5–2
Esteghlal,1–0,1–0,,1–1,2–0,1–1,2–2,2–1,2–0,1–0,2–3,2–2,2–1,1–0,1–0,3–2,3–1,2–3
Persepolis,1–1,1–1,2–1,,0–0,1–0,2–1,0–2,2–0,1–0,1–2,1–1,2–2,1–0,1–0,4–2,2–1,1–1
Steel Azin,2–1,2–2,0–2,2–1,,4–3,2–2,4–3,1–1,2–3,0–1,2–2,2–1,1–1,2–2,1–1,0–0,0–1
Saba Qom,2–2,1–1,2–1,1–1,4–2,,2–1,2–2,1–3,1–1,0–0,0–1,4–0,0–1,2–1,1–2,2–1,2–0
Tractor Sazi,1–1,0–0,1–1,1–1,2–1,3–1,,1–2,1–0,1–0,1–0,2–1,1–1,2–1,2–2,0–0,1–0,2–1
Saipa,2–2,2–1,1–1,0–2,2–2,2–0,1–0,,2–1,1–2,0–2,3–1,1–0,2–1,3–0,1–1,1–0,2–4
Mes Kerman,2–3,5–2,1–2,3–3,2–6,0–0,3–2,3–2,,2–0,3–3,4–2,1–0,2–2,3–2,0–0,5–2,2–0
Foolad,0–0,1–1,1–1,0–0,0–1,2–1,1–1,1–1,0–4,,1–1,0–0,0–0,4–0,3–2,1–1,1–0,1–1
Paykan,1–4,1–1,1–1,1–3,0–1,1–1,1–0,1–1,0–0,1–1,,4–0,0–2,1–1,2–2,0–2,2–0,3–1
Malavan,0–0,0–1,0–0,1–1,1–3,1–3,1–1,1–0,2–1,1–0,0–1,,0–0,2–1,1–0,1–0,3–1,1–0
Shahin Bushehr,1–2,1–1,0–1,4–1,1–2,0–1,2–4,2–0,4–1,0–1,0–0,1–1,,3–1,1–1[a],0–0,1–1,0–0
Rah Ahan,0–1,0–0,3–2,2–2,1–1,1–3,0–0,0–1,3–2,2–1,3–0,1–2,1–2,,0–0,0–0,1–0,1–1
PAS Hamedan,1–1,1–1,0–0,1–2,0–2,2–1,1–1,3–1,1–0,3–1,2–2,1–1,0–1,0–1,,3–1,1–0,2–1
Moghavemat,3–1,0–2,0–0,1–2,1–2,1–4,2–2,0–0,1–1,0–1,1–0,4–0,0–1,2–1,1–0,,1–1,3–2
Aboumoslem,2–2,1–2,0–5,3–1,2–2,1–3,3–0,1–1,1–0,1–1,2–1,2–1,1–1,1–1,0–0,3–0,,2–0
Est. Ahvaz,0–5,1–2,0–2,1–0,1–1,0–1,2–3,4–4,1–0,0–1,3–1,2–0,2–2,1–3,0–1,0–0,1–1,
